"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trigger","coordinates","correct","correct_keyboard_response","correct_keyboard_response_1","correct_new_joystick","correct_new_joystick_1","correct_new_joystick_2","correct_new_joystick_3","correct_new_joystick_3_1","correct_new_keyboard_response","correct_new_keyboard_response_1","correct_new_port_reader","correct_new_touch_response","correct_new_touch_response_1","correct_response","count_Finished_practice","count______sketchpad","count__inline_script","count__inline_script_1","count__one","count__one_1","count__one_2","count__one_2_1","count__sequence","count__sketchpad","count__sketchpad_1","count__three","count__three_1","count__three_1_1","count__two","count__two_1","count__two_1_1","count_experiment","count_fix_canvas","count_fix_trigger","count_get_stimuli","count_get_stimuli_1","count_get_stimuli_2","count_getting_started","count_initport","count_instructions","count_instructions_1","count_keyboard_response","count_keyboard_response_1","count_load_dlportioDLL","count_logger","count_logger_1","count_loop","count_new_fixation_dot","count_new_inline_script","count_new_inline_script_1","count_new_inline_script_2","count_new_joystick","count_new_joystick_1","count_new_joystick_2","count_new_joystick_3","count_new_joystick_3_1","count_new_keyboard_response","count_new_keyboard_response_1","count_new_parallel_port_trigger","count_new_parallel_port_trigger_1","count_new_parallel_port_trigger_1_1","count_new_parallel_port_trigger_1_2","count_new_parallel_port_trigger_2","count_new_parallel_port_trigger_init","count_new_port_reader","count_new_sketchpad","count_new_touch_response","count_new_touch_response_1","count_one","count_practice_instructions","count_practice_loop","count_practice_loop_1","count_practice_sequence","count_practice_sequence_1","count_practice_trials","count_practice_trials_1","count_response_canvas","count_response_canvas_1","count_response_processing","count_response_processing_1","count_response_processing_1_1","count_sequence","count_sketchpad","count_sketchpad_1","count_sketchpad_1_1","count_three","count_trial_trigger","count_trigger11","count_two","count_welcome","cursor_x","cursor_y","datetime","description","experiment_file","experiment_path","flanker_type","font_bold","font_family","font_italic","font_size","foreground","height","keyboard_backend","lexicality","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finished_practice","response______sketchpad","response__sketchpad","response__sketchpad_1","response_instructions","response_instructions_1","response_keyboard_response","response_keyboard_response_1","response_new_fixation_dot","response_new_joystick","response_new_joystick_1","response_new_joystick_2","response_new_joystick_3","response_new_joystick_3_1","response_new_keyboard_response","response_new_keyboard_response_1","response_new_port_reader","response_new_sketchpad","response_new_touch_response","response_new_touch_response_1","response_practice_instructions","response_time","response_time_Finished_practice","response_time______sketchpad","response_time__sketchpad","response_time__sketchpad_1","response_time_instructions","response_time_instructions_1","response_time_keyboard_response","response_time_keyboard_response_1","response_time_new_fixation_dot","response_time_new_joystick","response_time_new_joystick_1","response_time_new_joystick_2","response_time_new_joystick_3","response_time_new_joystick_3_1","response_time_new_keyboard_response","response_time_new_keyboard_response_1","response_time_new_port_reader","response_time_new_sketchpad","response_time_new_touch_response","response_time_new_touch_response_1","response_time_practice_instructions","response_time_welcome","response_welcome","sampler_backend","start","subject_nr","subject_parity","synth_backend","target","time_Finished_practice","time______sketchpad","time__inline_script","time__inline_script_1","time__one","time__one_1","time__one_2","time__one_2_1","time__sequence","time__sketchpad","time__sketchpad_1","time__three","time__three_1","time__three_1_1","time__two","time__two_1","time__two_1_1","time_experiment","time_fix_canvas","time_fix_trigger","time_get_stimuli","time_get_stimuli_1","time_get_stimuli_2","time_getting_started","time_initport","time_instructions","time_instructions_1","time_keyboard_response","time_keyboard_response_1","time_load_dlportioDLL","time_logger","time_logger_1","time_loop","time_new_fixation_dot","time_new_inline_script","time_new_inline_script_1","time_new_inline_script_2","time_new_joystick","time_new_joystick_1","time_new_joystick_2","time_new_joystick_3","time_new_joystick_3_1","time_new_keyboard_response","time_new_keyboard_response_1","time_new_parallel_port_trigger","time_new_parallel_port_trigger_1","time_new_parallel_port_trigger_1_1","time_new_parallel_port_trigger_1_2","time_new_parallel_port_trigger_2","time_new_parallel_port_trigger_init","time_new_port_reader","time_new_sketchpad","time_new_touch_response","time_new_touch_response_1","time_one","time_practice_instructions","time_practice_loop","time_practice_loop_1","time_practice_sequence","time_practice_sequence_1","time_practice_trials","time_practice_trials_1","time_response_canvas","time_response_canvas_1","time_response_processing","time_response_processing_1","time_response_processing_1_1","time_sequence","time_sketchpad","time_sketchpad_1","time_sketchpad_1_1","time_three","time_trial_trigger","time_trigger11","time_two","time_welcome","title","total_correct","total_response_time","total_responses","trigger_01","trigger_250","trigger_60","trigger_70","trigger_80","uniform_coordinates","width"
"100","100","538","538","#878787","no","xpyriment","legacy","legacy","0","2419314","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","0","NA","0","NA","0","0","NA","0","0","NA","0","0","NA","0","12","12","0","NA","0","NA","NA","NA","0","NA","NA","0","0","NA","0","NA","12","0","NA","NA","NA","0","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","12","NA","NA","NA","NA","NA","NA","NA","12","NA","NA","NA","NA","NA","12/16/16 08:50:29","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","unrelated","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-13.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","438","16402","NA","NA","NA","NA","2352684","NA","NA","NA","NA","NA","438","536","NA","NA","NA","NA","NA","NA","NA","5641","NA","NA","legacy","experiment","13","odd","legacy","pare cinq pare","2401366","NA","NA","NA","2421239","NA","2368938","NA","2419712","NA","NA","2419719","2367420","NA","2420479","2368178","NA","9054","2422089","2422089","2361753","NA","2417769","NA","NA","NA","9068","NA","NA","9057","2424124","NA","2417772","NA","2422742","NA","NA","NA","NA","2422958","2400100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361768","2369688","NA","2399066","NA","NA","NA","2361753","NA","2423397","NA","NA","NA","NA","NA","NA","NA","2421989","NA","NA","NA","New experiment","13","6997","13","2424124","2422089","2422792","2422958","2423411","no","1024"
"100","100","533","533","#878787","no","xpyriment","legacy","legacy","0","2425813","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","1","NA","0","NA","1","1","NA","1","0","NA","1","0","NA","0","13","13","0","NA","0","NA","NA","NA","0","NA","NA","0","1","NA","0","NA","13","0","NA","NA","NA","1","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","13","NA","NA","NA","NA","NA","NA","NA","13","NA","NA","NA","NA","NA","12/16/16 08:50:29","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-13.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","469","16402","NA","NA","NA","NA","2352684","NA","NA","NA","NA","NA","469","536","NA","NA","NA","NA","NA","NA","NA","5641","NA","NA","legacy","experiment","13","odd","legacy"," kaki ","2401366","NA","NA","NA","2421239","NA","2368938","NA","2426084","NA","NA","2419719","2367420","NA","2420479","2368178","NA","9054","2426185","2426185","2361753","NA","2417769","NA","NA","NA","9068","NA","NA","9057","2428256","NA","2417772","NA","2426847","NA","NA","NA","NA","2427063","2400100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361768","2369688","NA","2399066","NA","NA","NA","2361753","NA","2427533","NA","NA","NA","NA","NA","NA","NA","2426085","NA","NA","NA","New experiment","14","7466","14","2428256","2426185","2426897","2427063","2427543","no","1024"
"100","100","524","524","#878787","no","xpyriment","legacy","legacy","0","2429824","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","2","NA","0","NA","2","2","NA","2","0","NA","2","0","NA","0","14","14","0","NA","0","NA","NA","NA","0","NA","NA","0","2","NA","0","NA","14","0","NA","NA","NA","2","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","14","NA","NA","NA","NA","NA","NA","NA","14","NA","NA","NA","NA","NA","12/16/16 08:50:29","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","unrelated","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-13.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","NA","NA","space","394","16402","NA","NA","NA","NA","2352684","NA","NA","NA","NA","NA","394","536","NA","NA","NA","NA","NA","NA","NA","5641","NA","NA","legacy","experiment","13","odd","legacy","murf caie murf","2401366","NA","NA","NA","2421239","NA","2368938","NA","2430233","NA","NA","2419719","2367420","NA","2420479","2368178","NA","9054","2430334","2430334","2361753","NA","2417769","NA","NA","NA","9068","NA","NA","9057","2432321","NA","2417772","NA","2430992","NA","NA","NA","NA","2431209","2400100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361768","2369688","NA","2399066","NA","NA","NA","2361753","NA","2431605","NA","NA","NA","NA","NA","NA","NA","2430234","NA","NA","NA","New experiment","15","7860","15","2432321","2430334","2431042","2431208","2431608","no","1024"
"100","100","517","517","#878787","no","xpyriment","legacy","legacy","0","2433911","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","3","NA","0","NA","3","3","NA","3","0","NA","3","0","NA","0","15","15","0","NA","0","NA","NA","NA","0","NA","NA","0","3","NA","0","NA","15","0","NA","NA","NA","3","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","15","NA","NA","NA","NA","NA","NA","NA","15","NA","NA","NA","NA","NA","12/16/16 08:50:29","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","related","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-13.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","421","16402","NA","NA","NA","NA","2352684","NA","NA","NA","NA","NA","421","536","NA","NA","NA","NA","NA","NA","NA","5641","NA","NA","legacy","experiment","13","odd","legacy","oeuf oeuf oeuf","2401366","NA","NA","NA","2421239","NA","2368938","NA","2434305","NA","NA","2419719","2367420","NA","2420479","2368178","NA","9054","2434407","2434407","2361753","NA","2417769","NA","NA","NA","9068","NA","NA","9057","2436426","NA","2417772","NA","2435071","NA","NA","NA","NA","2435287","2400100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361768","2369688","NA","2399066","NA","NA","NA","2361753","NA","2435709","NA","NA","NA","NA","NA","NA","NA","2434306","NA","NA","NA","New experiment","16","8281","16","2436426","2434407","2435121","2435287","2435714","no","1024"
"100","100","507","507","#878787","no","xpyriment","legacy","legacy","0","2438000","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","4","NA","0","NA","4","4","NA","4","0","NA","4","0","NA","0","16","16","0","NA","0","NA","NA","NA","0","NA","NA","0","4","NA","0","NA","16","0","NA","NA","NA","4","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","16","NA","NA","NA","NA","NA","NA","NA","16","NA","NA","NA","NA","NA","12/16/16 08:50:29","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-13.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","NA","NA","space","352","16402","NA","NA","NA","NA","2352684","NA","NA","NA","NA","NA","352","536","NA","NA","NA","NA","NA","NA","NA","5641","NA","NA","legacy","experiment","13","odd","legacy"," vets ","2401366","NA","NA","NA","2421239","NA","2368938","NA","2438280","NA","NA","2419719","2367420","NA","2420479","2368178","NA","9054","2438381","2438381","2361753","NA","2417769","NA","NA","NA","9068","NA","NA","9057","2440331","NA","2417772","NA","2439042","NA","NA","NA","NA","2439259","2400100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361768","2369688","NA","2399066","NA","NA","NA","2361753","NA","2439613","NA","NA","NA","NA","NA","NA","NA","2438281","NA","NA","NA","New experiment","17","8633","17","2440331","2438381","2439092","2439259","2439618","no","1024"
"100","100","501","501","#878787","no","xpyriment","legacy","legacy","0","2441921","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","5","NA","0","NA","5","5","NA","5","0","NA","5","0","NA","0","17","17","0","NA","0","NA","NA","NA","0","NA","NA","0","5","NA","0","NA","17","0","NA","NA","NA","5","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","17","NA","NA","NA","NA","NA","NA","NA","17","NA","NA","NA","NA","NA","12/16/16 08:50:29","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-13.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","391","16402","NA","NA","NA","NA","2352684","NA","NA","NA","NA","NA","391","536","NA","NA","NA","NA","NA","NA","NA","5641","NA","NA","legacy","experiment","13","odd","legacy"," doux ","2401366","NA","NA","NA","2421239","NA","2368938","NA","2442191","NA","NA","2419719","2367420","NA","2420479","2368178","NA","9054","2442292","2442292","2361753","NA","2417769","NA","NA","NA","9068","NA","NA","9057","2444276","NA","2417772","NA","2442948","NA","NA","NA","NA","2443164","2400100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361768","2369688","NA","2399066","NA","NA","NA","2361753","NA","2443556","NA","NA","NA","NA","NA","NA","NA","2442192","NA","NA","NA","New experiment","18","9024","18","2444276","2442292","2442998","2443164","2443563","no","1024"
"100","100","496","496","#878787","no","xpyriment","legacy","legacy","0","2445798","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","6","NA","0","NA","6","6","NA","6","0","NA","6","0","NA","0","18","18","0","NA","0","NA","NA","NA","0","NA","NA","0","6","NA","0","NA","18","0","NA","NA","NA","6","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","18","NA","NA","NA","NA","NA","NA","NA","18","NA","NA","NA","NA","NA","12/16/16 08:50:29","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-13.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","NA","NA","space","413","16402","NA","NA","NA","NA","2352684","NA","NA","NA","NA","NA","413","536","NA","NA","NA","NA","NA","NA","NA","5641","NA","NA","legacy","experiment","13","odd","legacy"," rour ","2401366","NA","NA","NA","2421239","NA","2368938","NA","2446125","NA","NA","2419719","2367420","NA","2420479","2368178","NA","9054","2446226","2446226","2361753","NA","2417769","NA","NA","NA","9068","NA","NA","9057","2448235","NA","2417772","NA","2446879","NA","NA","NA","NA","2447095","2400100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361768","2369688","NA","2399066","NA","NA","NA","2361753","NA","2447509","NA","NA","NA","NA","NA","NA","NA","2446126","NA","NA","NA","New experiment","19","9437","19","2448235","2446226","2446929","2447095","2447522","no","1024"
"100","100","495","495","#878787","no","xpyriment","legacy","legacy","0","2449834","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","7","NA","0","NA","7","7","NA","7","0","NA","7","0","NA","0","19","19","0","NA","0","NA","NA","NA","0","NA","NA","0","7","NA","0","NA","19","0","NA","NA","NA","7","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","19","NA","NA","NA","NA","NA","NA","NA","19","NA","NA","NA","NA","NA","12/16/16 08:50:29","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","no","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-13.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","NA","NA","space","477","16402","NA","NA","NA","NA","2352684","NA","NA","NA","NA","NA","477","536","NA","NA","NA","NA","NA","NA","NA","5641","NA","NA","legacy","experiment","13","odd","legacy"," soge ","2401366","NA","NA","NA","2421239","NA","2368938","NA","2450121","NA","NA","2419719","2367420","NA","2420479","2368178","NA","9054","2450222","2450222","2361753","NA","2417769","NA","NA","NA","9068","NA","NA","9057","2452300","NA","2417772","NA","2450877","NA","NA","NA","NA","2451094","2400100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361768","2369688","NA","2399066","NA","NA","NA","2361753","NA","2451572","NA","NA","NA","NA","NA","NA","NA","2450122","NA","NA","NA","New experiment","20","9914","20","2452300","2450222","2450927","2451094","2451588","no","1024"
"100","100","488","488","#878787","no","xpyriment","legacy","legacy","0","2453892","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","8","NA","0","NA","8","8","NA","8","0","NA","8","0","NA","0","20","20","0","NA","0","NA","NA","NA","0","NA","NA","0","8","NA","0","NA","20","0","NA","NA","NA","8","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","20","NA","NA","NA","NA","NA","NA","NA","20","NA","NA","NA","NA","NA","12/16/16 08:50:29","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","related","no","mono","no","18","#000000","768","legacy","word","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-13.csv","xpyriment","Interactive Ising","3.0.7","0","6","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","6","5","NA","NA","NA","NA","NA","NA","NA","space","340","16402","NA","NA","NA","NA","2352684","NA","NA","NA","NA","NA","340","536","NA","NA","NA","NA","NA","NA","NA","5641","NA","NA","legacy","experiment","13","odd","legacy","nage nage nage","2401366","NA","NA","NA","2421239","NA","2368938","NA","2454262","NA","NA","2419719","2367420","NA","2420479","2368178","NA","9054","2454363","2454363","2361753","NA","2417769","NA","NA","NA","9068","NA","NA","9057","2456299","NA","2417772","NA","2455023","NA","NA","NA","NA","2455239","2400100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361768","2369688","NA","2399066","NA","NA","NA","2361753","NA","2455580","NA","NA","NA","NA","NA","NA","NA","2454263","NA","NA","NA","New experiment","21","10254","21","2456299","2454363","2455073","2455239","2455586","no","1024"
"100","100","483","483","#878787","no","xpyriment","legacy","legacy","0","2457838","relative","1","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","5","0","NA","NA","NA","9","NA","0","NA","9","9","NA","9","0","NA","9","0","NA","0","21","21","0","NA","0","NA","NA","NA","0","NA","NA","0","9","NA","0","NA","21","0","NA","NA","NA","9","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","11","NA","NA","NA","0","NA","21","NA","NA","NA","NA","NA","NA","NA","21","NA","NA","NA","NA","NA","12/16/16 08:50:29","Default description","ERP_flankers.osexp","C:\Documents and Settings\lpc\Bureau\joshua et Claire\ERP flankers","related","no","mono","no","18","#000000","768","legacy","nonword","C:/Documents and Settings/lpc/Bureau/joshua et Claire/ERP flankers/subject-13.csv","xpyriment","Interactive Ising","3.0.7","0","5","space","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","5","5","NA","NA","NA","NA","NA","NA","NA","space","389","16402","NA","NA","NA","NA","2352684","NA","NA","NA","NA","NA","389","536","NA","NA","NA","NA","NA","NA","NA","5641","NA","NA","legacy","experiment","13","odd","legacy","dets dets dets","2401366","NA","NA","NA","2421239","NA","2368938","NA","2458223","NA","NA","2419719","2367420","NA","2420479","2368178","NA","9054","2458324","2458324","2361753","NA","2417769","NA","NA","NA","9068","NA","NA","9057","2460311","NA","2417772","NA","2458982","NA","NA","NA","NA","2459198","2400100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2361768","2369688","NA","2399066","NA","NA","NA","2361753","NA","2459588","NA","NA","NA","NA","NA","NA","NA","2458224","NA","NA","NA","New experiment","22","10643","22","2460311","2458324","2459032","2459198","2459597","no","1024"
