subject_nr	list	item_nr	order	cue	correct
2	2	114	2	3	0
2	2	151	2	4	1
2	2	170	2	4	1
2	2	28	1	1	0
2	2	165	2	4	1
2	2	140	1	3	1
2	2	12	2	1	1
2	2	68	2	2	0
2	2	136	1	3	1
2	2	22	2	1	1
2	2	160	2	4	1
2	2	2	2	1	1
2	2	91	1	2	0
2	2	98	1	2	1
2	2	53	2	2	0
2	2	131	1	3	1
2	2	128	1	3	0
2	2	104	2	3	1
2	2	39	1	1	1
2	2	6	2	1	1
2	2	109	2	3	1
2	2	174	2	4	1
2	2	82	1	2	1
2	2	83	1	2	1
2	2	16	2	1	1
2	2	138	1	3	0
2	2	60	2	2	1
2	2	159	2	4	1
2	2	196	1	4	1
2	2	163	2	4	1
2	2	63	2	2	1
2	2	158	2	4	0
2	2	190	1	4	1
2	2	36	1	1	1
2	2	35	1	1	0
2	2	26	1	1	1
2	2	184	1	4	1
2	2	124	2	3	1
2	2	186	1	4	1
2	2	47	1	1	1
2	2	111	2	3	1
2	2	166	2	4	1
2	2	147	1	3	0
2	2	46	1	1	0
2	2	125	2	3	1
2	2	146	1	3	1
2	2	38	1	1	0
2	2	66	2	2	1
2	2	78	1	2	1
2	2	69	2	2	1
2	2	177	1	4	1
2	2	4	2	1	1
2	2	135	1	3	1
2	2	149	1	3	1
2	2	142	1	3	1
2	2	64	2	2	1
2	2	32	1	1	1
2	2	107	2	3	1
2	2	74	2	2	1
2	2	94	1	2	1
2	2	185	1	4	1
2	2	72	2	2	1
2	2	133	1	3	1
2	2	154	2	4	1
2	2	176	1	4	1
2	2	123	2	3	1
2	2	23	2	1	1
2	2	67	2	2	0
2	2	102	2	3	1
2	2	34	1	1	0
2	2	182	1	4	1
2	2	50	1	1	1
2	2	5	2	1	0
2	2	8	2	1	0
2	2	99	1	2	1
2	2	75	2	2	1
2	2	175	2	4	1
2	2	110	2	3	1
2	2	87	1	2	1
2	2	25	2	1	1
2	2	192	1	4	1
2	2	76	1	2	1
2	2	181	1	4	1
2	2	37	1	1	1
2	2	119	2	3	0
2	2	199	1	4	0
2	2	127	1	3	1
2	2	139	1	3	1
2	2	148	1	3	1
2	2	52	2	2	1
2	2	120	2	3	1
2	2	150	1	3	1
2	2	101	2	3	0
2	2	41	1	1	1
2	2	65	2	2	1
2	2	112	2	3	1
2	2	198	1	4	1
2	2	130	1	3	1
2	2	116	2	3	0
2	2	77	1	2	1
2	2	84	1	2	1
2	2	92	1	2	1
2	2	117	2	3	0
2	2	43	1	1	0
2	2	42	1	1	0
2	2	59	2	2	0
2	2	62	2	2	1
2	2	7	2	1	1
2	2	191	1	4	1
2	2	188	1	4	1
2	2	19	2	1	0
2	2	85	1	2	0
2	2	29	1	1	1
2	2	97	1	2	1
2	2	144	1	3	1
2	2	105	2	3	0
2	2	183	1	4	1
2	2	81	1	2	1
2	2	194	1	4	1
2	2	10	2	1	1
2	2	100	1	2	1
2	2	156	2	4	1
2	2	141	1	3	1
2	2	79	1	2	0
2	2	17	2	1	1
2	2	24	2	1	0
2	2	45	1	1	1
2	2	145	1	3	0
2	2	9	2	1	1
2	2	80	1	2	1
2	2	155	2	4	1
2	2	157	2	4	1
2	2	71	2	2	1
2	2	30	1	1	0
2	2	115	2	3	0
2	2	21	2	1	0
2	2	180	1	4	1
2	2	171	2	4	1
2	2	178	1	4	1
2	2	44	1	1	1
2	2	1	2	1	1
2	2	95	1	2	1
2	2	122	2	3	1
2	2	106	2	3	1
2	2	49	1	1	0
2	2	137	1	3	1
2	2	70	2	2	1
2	2	11	2	1	1
2	2	189	1	4	1
2	2	86	1	2	1
2	2	40	1	1	1
2	2	132	1	3	0
2	2	56	2	2	1
2	2	33	1	1	1
2	2	15	2	1	1
2	2	164	2	4	1
2	2	58	2	2	1
2	2	162	2	4	1
2	2	197	1	4	1
2	2	93	1	2	1
2	2	118	2	3	1
2	2	73	2	2	0
2	2	126	1	3	1
2	2	200	1	4	1
2	2	108	2	3	0
2	2	121	2	3	1
2	2	54	2	2	1
2	2	172	2	4	1
2	2	89	1	2	0
2	2	179	1	4	1
2	2	169	2	4	1
2	2	153	2	4	1
2	2	55	2	2	1
2	2	173	2	4	1
2	2	18	2	1	1
2	2	88	1	2	1
2	2	152	2	4	1
2	2	195	1	4	1
2	2	129	1	3	1
2	2	161	2	4	1
2	2	96	1	2	0
2	2	57	2	2	1
2	2	48	1	1	0
2	2	13	2	1	1
2	2	61	2	2	1
2	2	20	2	1	0
2	2	187	1	4	1
2	2	168	2	4	1
2	2	134	1	3	1
2	2	27	1	1	1
2	2	167	2	4	1
2	2	193	1	4	1
2	2	113	2	3	1
2	2	31	1	1	0
2	2	143	1	3	1
2	2	3	2	1	1
2	2	90	1	2	1
2	2	103	2	3	0
2	2	14	2	1	1
2	2	51	2	2	1
4	2	23	2	1	1
4	2	6	2	1	1
4	2	51	2	2	1
4	2	68	2	2	1
4	2	78	1	2	0
4	2	190	1	4	0
4	2	100	1	2	1
4	2	11	2	1	1
4	2	104	2	3	1
4	2	133	1	3	1
4	2	199	1	4	0
4	2	120	2	3	1
4	2	122	2	3	0
4	2	21	2	1	1
4	2	169	2	4	1
4	2	53	2	2	1
4	2	32	1	1	1
4	2	180	1	4	1
4	2	71	2	2	1
4	2	49	1	1	1
4	2	26	1	1	1
4	2	146	1	3	1
4	2	50	1	1	1
4	2	27	1	1	1
4	2	173	2	4	1
4	2	101	2	3	1
4	2	166	2	4	1
4	2	62	2	2	1
4	2	167	2	4	0
4	2	183	1	4	1
4	2	150	1	3	1
4	2	87	1	2	1
4	2	134	1	3	1
4	2	72	2	2	1
4	2	172	2	4	1
4	2	35	1	1	1
4	2	147	1	3	0
4	2	3	2	1	1
4	2	10	2	1	1
4	2	196	1	4	1
4	2	18	2	1	1
4	2	145	1	3	1
4	2	195	1	4	1
4	2	70	2	2	1
4	2	84	1	2	1
4	2	112	2	3	1
4	2	130	1	3	1
4	2	140	1	3	1
4	2	28	1	1	1
4	2	44	1	1	1
4	2	4	2	1	1
4	2	103	2	3	1
4	2	47	1	1	1
4	2	107	2	3	0
4	2	29	1	1	1
4	2	177	1	4	1
4	2	14	2	1	1
4	2	2	2	1	1
4	2	156	2	4	1
4	2	171	2	4	1
4	2	54	2	2	0
4	2	126	1	3	1
4	2	81	1	2	1
4	2	184	1	4	1
4	2	138	1	3	0
4	2	42	1	1	1
4	2	56	2	2	0
4	2	176	1	4	1
4	2	157	2	4	1
4	2	99	1	2	1
4	2	36	1	1	1
4	2	154	2	4	0
4	2	13	2	1	1
4	2	153	2	4	1
4	2	186	1	4	1
4	2	119	2	3	1
4	2	88	1	2	1
4	2	159	2	4	1
4	2	155	2	4	1
4	2	89	1	2	1
4	2	59	2	2	0
4	2	80	1	2	1
4	2	19	2	1	0
4	2	31	1	1	1
4	2	40	1	1	1
4	2	57	2	2	1
4	2	41	1	1	1
4	2	164	2	4	0
4	2	38	1	1	1
4	2	94	1	2	1
4	2	16	2	1	1
4	2	83	1	2	1
4	2	91	1	2	1
4	2	189	1	4	1
4	2	117	2	3	0
4	2	33	1	1	1
4	2	191	1	4	0
4	2	161	2	4	1
4	2	58	2	2	0
4	2	123	2	3	1
4	2	168	2	4	1
4	2	30	1	1	1
4	2	34	1	1	1
4	2	131	1	3	1
4	2	37	1	1	1
4	2	128	1	3	1
4	2	73	2	2	1
4	2	82	1	2	1
4	2	7	2	1	1
4	2	52	2	2	1
4	2	74	2	2	1
4	2	197	1	4	1
4	2	95	1	2	0
4	2	149	1	3	1
4	2	22	2	1	0
4	2	105	2	3	0
4	2	179	1	4	1
4	2	200	1	4	1
4	2	127	1	3	0
4	2	43	1	1	1
4	2	152	2	4	1
4	2	63	2	2	1
4	2	65	2	2	1
4	2	5	2	1	1
4	2	151	2	4	1
4	2	193	1	4	1
4	2	162	2	4	1
4	2	77	1	2	0
4	2	9	2	1	1
4	2	106	2	3	1
4	2	192	1	4	1
4	2	66	2	2	1
4	2	163	2	4	1
4	2	182	1	4	1
4	2	194	1	4	1
4	2	148	1	3	1
4	2	25	2	1	1
4	2	174	2	4	1
4	2	75	2	2	1
4	2	15	2	1	1
4	2	86	1	2	1
4	2	187	1	4	0
4	2	102	2	3	1
4	2	135	1	3	0
4	2	125	2	3	0
4	2	96	1	2	1
4	2	85	1	2	1
4	2	92	1	2	1
4	2	198	1	4	1
4	2	136	1	3	1
4	2	116	2	3	0
4	2	76	1	2	1
4	2	20	2	1	1
4	2	158	2	4	0
4	2	79	1	2	0
4	2	141	1	3	1
4	2	109	2	3	1
4	2	165	2	4	1
4	2	115	2	3	0
4	2	39	1	1	1
4	2	185	1	4	1
4	2	181	1	4	1
4	2	108	2	3	0
4	2	114	2	3	0
4	2	17	2	1	0
4	2	12	2	1	0
4	2	124	2	3	0
4	2	139	1	3	1
4	2	46	1	1	1
4	2	90	1	2	1
4	2	8	2	1	1
4	2	67	2	2	1
4	2	110	2	3	1
4	2	64	2	2	1
4	2	178	1	4	1
4	2	98	1	2	1
4	2	188	1	4	1
4	2	129	1	3	0
4	2	142	1	3	1
4	2	118	2	3	0
4	2	170	2	4	1
4	2	93	1	2	1
4	2	69	2	2	1
4	2	113	2	3	1
4	2	61	2	2	1
4	2	55	2	2	1
4	2	144	1	3	1
4	2	121	2	3	1
4	2	60	2	2	1
4	2	24	2	1	1
4	2	160	2	4	0
4	2	1	2	1	1
4	2	48	1	1	1
4	2	175	2	4	1
4	2	132	1	3	0
4	2	137	1	3	1
4	2	45	1	1	1
4	2	111	2	3	1
4	2	143	1	3	1
4	2	97	1	2	1
5	1	51	1	2	1
5	1	190	2	4	1
5	1	24	1	1	1
5	1	94	2	2	1
5	1	146	2	3	1
5	1	158	1	4	1
5	1	56	1	2	1
5	1	67	1	2	1
5	1	173	1	4	1
5	1	27	2	1	1
5	1	46	2	1	1
5	1	174	1	4	1
5	1	182	2	4	1
5	1	99	2	2	1
5	1	150	2	3	1
5	1	186	2	4	1
5	1	16	1	1	1
5	1	184	2	4	1
5	1	28	2	1	1
5	1	70	1	2	1
5	1	177	2	4	1
5	1	125	1	3	1
5	1	14	1	1	1
5	1	140	2	3	1
5	1	88	2	2	1
5	1	163	1	4	1
5	1	62	1	2	1
5	1	198	2	4	1
5	1	61	1	2	1
5	1	10	1	1	1
5	1	172	1	4	1
5	1	98	2	2	1
5	1	134	2	3	1
5	1	1	1	1	1
5	1	101	1	3	0
5	1	153	1	4	1
5	1	168	1	4	1
5	1	124	1	3	1
5	1	38	2	1	1
5	1	71	1	2	1
5	1	8	1	1	1
5	1	66	1	2	1
5	1	145	2	3	0
5	1	171	1	4	1
5	1	45	2	1	1
5	1	123	1	3	1
5	1	41	2	1	1
5	1	195	2	4	0
5	1	192	2	4	1
5	1	102	1	3	1
5	1	19	1	1	1
5	1	104	1	3	1
5	1	151	1	4	1
5	1	117	1	3	0
5	1	193	2	4	1
5	1	79	2	2	1
5	1	42	2	1	1
5	1	21	1	1	0
5	1	183	2	4	1
5	1	75	1	2	1
5	1	110	1	3	1
5	1	199	2	4	1
5	1	200	2	4	1
5	1	13	1	1	1
5	1	53	1	2	1
5	1	48	2	1	1
5	1	74	1	2	1
5	1	161	1	4	1
5	1	137	2	3	1
5	1	119	1	3	1
5	1	113	1	3	1
5	1	3	1	1	1
5	1	47	2	1	1
5	1	43	2	1	0
5	1	162	1	4	1
5	1	114	1	3	1
5	1	194	2	4	1
5	1	128	2	3	1
5	1	49	2	1	1
5	1	64	1	2	1
5	1	143	2	3	1
5	1	11	1	1	1
5	1	130	2	3	1
5	1	2	1	1	1
5	1	155	1	4	1
5	1	147	2	3	1
5	1	176	2	4	1
5	1	32	2	1	0
5	1	82	2	2	1
5	1	35	2	1	1
5	1	7	1	1	1
5	1	36	2	1	1
5	1	72	1	2	1
5	1	77	2	2	1
5	1	138	2	3	1
5	1	179	2	4	1
5	1	33	2	1	1
5	1	188	2	4	1
5	1	55	1	2	1
5	1	12	1	1	0
5	1	103	1	3	1
5	1	65	1	2	1
5	1	23	1	1	1
5	1	129	2	3	1
5	1	25	1	1	1
5	1	106	1	3	1
5	1	93	2	2	1
5	1	160	1	4	1
5	1	118	1	3	1
5	1	115	1	3	1
5	1	180	2	4	1
5	1	83	2	2	1
5	1	164	1	4	1
5	1	189	2	4	1
5	1	95	2	2	0
5	1	126	2	3	1
5	1	69	1	2	1
5	1	154	1	4	1
5	1	144	2	3	0
5	1	112	1	3	1
5	1	37	2	1	1
5	1	54	1	2	1
5	1	196	2	4	1
5	1	100	2	2	1
5	1	89	2	2	1
5	1	109	1	3	1
5	1	127	2	3	0
5	1	58	1	2	1
