condition,SF,GD,refix,activity
jahr,0,225,225,0,0.17783922448
fast,0,225,225,0,0.183691153112
offen,0,200,200,0,0.230768609483
paar,0,200,200,0,0.105332926023
gute,0,175,175,0,0.207551618633
zwei,0,225,225,0,0.183966861131
wird,0,225,225,0,0.226961245773
sich,0,225,225,0,0.230218609401
sind,0,175,175,0,0.241792017748
ihren,0,225,225,0,0.325234696336
sind,0,225,225,0,0.225390345607
neben,0,200,200,0,0.31427949812
erste,0,175,175,0,0.132853234086
einen,0,150,150,0,0.103184149136
hinzu,0,200,200,0,0.279514491747
woche,0,250,250,0,0.320919653656
geld,0,250,250,0,0.292045498287
katze,0,225,225,0,0.166716443094
satz,0,175,175,0,0.217687005344
nicht,0,200,200,0,0.263223492323
muss,0,200,200,0,0.217001540664
sich,0,125,125,0,0.15743189573
stirn,0,150,275,1,0.08113451815
bild,0,225,225,0,0.208836767839
einen,0,200,200,0,0.264488979851
schon,0,175,175,0,0.216123410459
star,0,225,225,0,0.131606053111
vier,0,225,225,0,0.295538134739
soll,0,200,200,0,0.240522238981
einen,0,175,175,0,0.292999240688
schon,0,150,150,0,0.100575671802
saal,0,225,225,0,0.173119477244
gehen,0,175,175,0,0.265351398905
jahr,0,150,150,0,0.1310977949
fast,0,200,200,0,0.158775686125
mehr,0,175,175,0,0.177731428838
offen,0,225,225,0,0.266834245948
paar,0,200,200,0,0.104987551086
gute,0,125,125,0,0.180507193905
zwei,0,225,225,0,0.196127789893
wird,0,175,175,0,0.222383457693
sich,0,175,175,0,0.202517575606
sind,0,175,175,0,0.179945468448
ihren,0,300,300,0,0.357713540297
sind,0,225,225,0,0.215407674851
neben,0,250,250,0,0.320411914529
erste,0,200,200,0,0.153097481838
einen,0,175,175,0,0.138988582918
hinzu,0,150,150,0,0.260837206411
woche,0,225,225,0,0.313697118037
katze,0,175,175,0,0.114540860819
satz,0,125,125,0,0.179465179872
nicht,0,250,250,0,0.293091778963
muss,0,150,150,0,0.195403785875
sich,0,225,225,0,0.227787461243
stirn,0,175,175,0,0.11554366917
bild,0,225,225,0,0.203403846971
einen,0,200,200,0,0.266801940771
schon,0,125,125,0,0.196137640666
star,0,250,250,0,0.15738688475
vier,0,175,175,0,0.241875419556
soll,0,175,175,0,0.199436953958
ist,0,200,200,0,0.179019184769
einen,0,225,225,0,0.304962146851
schon,0,175,175,0,0.241362413212
saal,0,125,125,0,0.122708482974
gehen,0,275,275,0,0.295594835461
jahr,0,150,150,0,0.120802620755
fast,0,200,200,0,0.170348561652
mehr,0,225,225,0,0.210950308908
offen,0,175,175,0,0.217796923157
paar,0,250,250,0,0.145850199564
gute,0,225,225,0,0.240568338926
zwei,0,250,250,0,0.211376895428
wird,0,200,200,0,0.230721235568
sich,0,200,200,0,0.267448717673
sind,0,250,250,0,0.237579740919
ihren,0,175,175,0,0.319335555574
sind,0,200,200,0,0.199457691654
neben,0,225,225,0,0.343927141918
erste,0,225,225,0,0.176144820039
einen,0,150,150,0,0.0979773815877
hinzu,0,175,175,0,0.284413858467
geld,0,175,175,0,0.264598178774
katze,0,200,200,0,0.141652566192
satz,0,175,175,0,0.222615472658
nicht,0,275,275,0,0.312500616758
muss,0,250,250,0,0.244234967959
sich,0,225,225,0,0.214801063618
stirn,0,200,200,0,0.147677696103
bild,0,225,225,0,0.208810344613
einen,0,250,250,0,0.319759106463
schon,0,125,125,0,0.201801352021
star,0,175,175,0,0.186009905013
vier,0,250,250,0,0.259691643231
soll,0,125,125,0,0.148137585761
einen,0,200,200,0,0.314852914995
schon,0,150,150,0,0.0979268761937
saal,0,150,150,0,0.130907390196
gehen,0,200,200,0,0.267060916641
jahr,0,175,175,0,0.148733759824
fast,0,175,175,0,0.153228167166
mehr,0,225,225,0,0.190271307856
offen,0,200,200,0,0.238177804316
paar,0,225,225,0,0.125085471403
gute,0,200,200,0,0.224036520986
zwei,0,250,250,0,0.143430420272
wird,0,150,150,0,0.190182028898
sich,0,175,175,0,0.241262744685
sind,0,250,250,0,0.246625379626
ihren,0,250,250,0,0.35325547667
sind,0,250,250,0,0.211157426402
neben,0,175,175,0,0.279883949645
erste,0,175,175,0,0.128874416582
einen,0,200,200,0,0.176723325998
hinzu,0,200,200,0,0.279052392135
woche,0,150,150,0,0.236861779906
katze,0,150,150,0,0.0749714763876
satz,0,125,125,0,0.201614445742
nicht,0,175,175,0,0.230531352547
muss,0,150,150,0,0.189269144581
sich,0,225,225,0,0.21718899201
stirn,0,275,275,0,0.224525744499
bild,0,250,250,0,0.226257806599
einen,0,175,175,0,0.272693433992
schon,0,150,150,0,0.21758905767
star,0,225,225,0,0.135192850517
vier,0,175,175,0,0.239907889336
soll,0,175,175,0,0.174576791613
einen,0,175,175,0,0.292665337326
schon,0,225,225,0,0.171966978557
saal,0,250,250,0,0.196970298706
gehen,0,225,225,0,0.269096773749
