condition,SF,GD,refix,activity
jahr,2,200,400,1,0.083966025341
fast,2,150,150,0,0.0838282333895
offen,2,225,225,0,0.108839310353
paar,2,225,375,1,0.0620545121041
gute,2,225,225,0,0.109592782666
wird,2,275,275,0,0.136613118777
sich,2,200,200,0,0.0897428736932
sind,2,125,125,0,0.0951399731805
ihren,2,200,200,0,0.117054912382
sind,2,150,400,1,0.0726671955388
neben,2,250,250,0,0.168729934563
erste,2,225,225,0,0.0602905941004
einen,2,250,425,1,0.0817672749134
hinzu,2,200,200,0,0.142636757012
woche,2,200,200,0,0.116441568475
katze,2,225,225,0,0.114652560582
satz,2,175,175,0,0.115198416006
nicht,2,200,200,0,0.120620520806
muss,2,200,200,0,0.110416686454
sich,2,225,225,0,0.0946293422305
stirn,2,175,175,0,0.0550129241291
bild,2,225,225,0,0.100540348114
einen,2,200,200,0,0.0770015833836
schon,2,150,350,1,0.0752951376704
star,2,175,175,0,0.0774800048735
vier,2,175,175,0,0.114475199256
soll,2,200,450,1,0.0795593692735
ist,2,200,200,0,0.0804131294481
einen,2,200,200,0,0.125602314808
schon,2,150,400,1,0.029006521412
saal,2,125,125,0,0.0632688454192
gehen,2,225,225,0,0.102169375885
jahr,2,225,225,0,0.0871596733087
fast,2,250,250,0,0.0856197117673
sich,2,225,225,0,0.0988422832609
mehr,2,200,200,0,0.0907726369882
offen,2,200,200,0,0.106012075136
paar,2,225,425,1,0.0609790985885
gute,2,250,250,0,0.110982687003
zwei,2,200,200,0,0.0842912210532
wird,2,200,200,0,0.122868679644
sich,2,225,225,0,0.0914351544683
sind,2,200,200,0,0.127758487867
ihren,2,150,150,0,0.127269415309
sind,2,175,175,0,0.0659881002927
neben,2,125,125,0,0.131159431291
erste,2,150,150,0,0.0301445984146
einen,2,200,200,0,0.0533182813146
hinzu,2,225,225,0,0.151058834711
geld,2,150,150,0,0.112712780729
katze,2,275,475,1,0.0920675753774
satz,2,175,175,0,0.114084230941
nicht,2,150,150,0,0.0931709658717
muss,2,275,275,0,0.133987271804
sich,2,200,200,0,0.0857848584713
stirn,2,225,225,0,0.0857562399578
bild,2,250,250,0,0.107030239479
einen,2,225,225,0,0.096946365741
schon,2,200,200,0,0.0941188679738
star,2,225,400,1,0.057738904002
vier,2,250,250,0,0.144927771205
soll,2,225,225,0,0.10999637615
ist,2,175,175,0,0.0606864460726
einen,2,200,200,0,0.115418138016
schon,2,200,450,1,0.0535909284256
saal,2,175,175,0,0.0788642815851
gehen,2,200,450,1,0.0612978831423
jahr,2,225,450,1,0.0834595902971
fast,2,200,200,0,0.0756851534344
sich,2,150,150,0,0.0824119198996
mehr,2,200,200,0,0.0847246774428
offen,2,175,175,0,0.0988180340692
paar,2,200,450,1,0.0512712066837
gute,2,175,175,0,0.0816251767626
zwei,2,200,200,0,0.0854240553262
wird,2,200,200,0,0.116747784474
sich,2,125,125,0,0.0602505539921
sind,2,200,200,0,0.116654287565
ihren,2,250,250,0,0.132282187438
sind,2,200,200,0,0.0680132615153
neben,2,275,275,0,0.175178244298
erste,2,175,400,1,0.0447603315011
einen,2,225,225,0,0.0646000843517
hinzu,2,150,150,0,0.132141035612
geld,2,225,225,0,0.0988712735565
katze,2,125,425,1,0.0168298287088
satz,2,225,225,0,0.126788196525
nicht,2,175,175,0,0.111022612257
muss,2,225,225,0,0.12176076756
sich,2,125,275,1,0.0595587419009
stirn,2,250,250,0,0.0973278258484
bild,2,175,175,0,0.0937655186897
einen,2,225,525,1,0.064547730512
schon,2,200,200,0,0.115259796902
star,2,200,200,0,0.0933103389674
vier,2,175,175,0,0.136887092879
soll,2,200,200,0,0.12148447093
einen,2,225,225,0,0.130301491088
schon,2,225,225,0,0.0998367670397
saal,2,225,225,0,0.114503648995
gehen,2,225,375,1,0.0691321926487
jahr,2,225,225,0,0.0902471740451
fast,2,225,225,0,0.0744966671949
mehr,2,200,200,0,0.0928578811678
offen,2,200,200,0,0.118028594597
paar,2,250,450,1,0.0720641941026
gute,2,175,175,0,0.0829845498679
zwei,2,225,225,0,0.0850527014149
wird,2,200,200,0,0.113466948617
sind,2,225,225,0,0.114244320562
ihren,2,225,225,0,0.128853227322
sind,2,150,325,1,0.056105112001
neben,2,175,175,0,0.1698962748
erste,2,225,425,1,0.0728513458495
einen,2,250,250,0,0.0754243255716
hinzu,2,225,225,0,0.148863218368
woche,2,200,200,0,0.130847437092
geld,2,150,150,0,0.128076048202
katze,2,250,450,1,0.0835942571627
satz,2,200,200,0,0.124424410912
nicht,2,200,200,0,0.131019499376
muss,2,225,225,0,0.121327389167
sich,2,225,225,0,0.0900802860984
stirn,2,250,250,0,0.0992882795335
bild,2,250,250,0,0.0978086950278
einen,2,200,200,0,0.0952970907441
schon,2,250,375,1,0.0851733512782
star,2,225,225,0,0.0860282728375
vier,2,175,175,0,0.116528260471
soll,2,225,225,0,0.104123032814
einen,2,200,200,0,0.131605547173
schon,2,175,175,0,0.0863545945482
saal,2,150,150,0,0.0830992715815
gehen,2,225,400,1,0.0799518244229
