word,condition,SF,GD,refix,activity
jahr,0,125,375,1,0.0803022365903
fast,0,250,250,0,0.140119316821
mehr,0,200,200,0,0.123238993427
offen,0,175,175,0,0.1431307417
paar,0,200,325,1,0.0734788847388
gute,0,125,125,0,0.0682595333931
zwei,0,175,175,0,0.116082113488
wird,0,200,200,0,0.162824891006
sich,0,175,175,0,0.135716388328
sind,0,200,200,0,0.140066760269
ihren,0,175,175,0,0.13603072577
sind,0,150,150,0,0.0959038067197
neben,0,175,175,0,0.171908772895
erste,0,175,375,1,0.0605386354714
einen,0,200,200,0,0.0776799505881
hinzu,0,200,200,0,0.181106731086
geld,0,275,275,0,0.15307411505
katze,0,225,225,0,0.157804218582
satz,0,225,225,0,0.158196916292
nicht,0,200,200,0,0.148061108853
muss,0,225,225,0,0.17941439868
sich,0,225,225,0,0.142434201489
stirn,0,250,250,0,0.121790017415
bild,0,225,400,1,0.0851768662028
einen,0,275,275,0,0.113207210636
schon,0,200,200,0,0.0882825616576
star,0,225,225,0,0.081595145342
vier,0,175,175,0,0.159843059551
soll,0,200,200,0,0.166439370486
ist,0,200,200,0,0.0974189768071
einen,0,150,150,0,0.159369099187
schon,0,150,150,0,0.128987631669
saal,0,225,225,0,0.154436180666
gehen,0,250,250,0,0.113815392709
jahr,0,200,200,0,0.114045850433
fast,0,275,275,0,0.141132184626
sich,0,200,200,0,0.141614899174
mehr,0,200,200,0,0.135524871053
offen,0,200,200,0,0.138016901329
paar,0,275,275,0,0.115673437034
gute,0,175,175,0,0.0963624169432
zwei,0,200,200,0,0.131687222618
sind,0,250,250,0,0.163519337655
ihren,0,200,200,0,0.146734566627
sind,0,225,225,0,0.115423113469
neben,0,300,300,0,0.224595578902
erste,0,225,225,0,0.0953625137059
einen,0,250,250,0,0.105804135875
hinzu,0,125,125,0,0.181177156601
woche,0,200,200,0,0.154089605918
geld,0,250,250,0,0.196434497342
katze,0,200,200,0,0.0864770893942
satz,0,150,150,0,0.125553116524
nicht,0,250,250,0,0.120417951391
muss,0,200,200,0,0.131438377108
stirn,0,200,200,0,0.0877098358173
bild,0,150,150,0,0.107137818789
einen,0,200,200,0,0.124866443238
schon,0,150,150,0,0.113210174289
star,0,250,250,0,0.0888794125657
vier,0,200,200,0,0.170256457705
soll,0,225,225,0,0.153716039639
ist,0,200,200,0,0.0633266384323
einen,0,200,200,0,0.155166129942
schon,0,225,225,0,0.0953340874063
saal,0,175,175,0,0.118625974434
gehen,0,225,225,0,0.127007586858
jahr,0,150,150,0,0.0983725362152
fast,0,225,225,0,0.122769766111
mehr,0,175,175,0,0.125175218049
offen,0,200,200,0,0.147217047345
paar,0,250,250,0,0.103138109951
gute,0,225,225,0,0.122433457376
zwei,0,200,200,0,0.144104404596
wird,0,200,200,0,0.163566721619
sich,0,175,175,0,0.125146304627
ihren,0,150,150,0,0.12527486283
sind,0,225,225,0,0.116132687723
neben,0,200,200,0,0.187139227658
erste,0,150,375,1,0.0411782107071
einen,0,200,425,1,0.0760584772419
hinzu,0,175,175,0,0.201296090661
woche,0,125,125,0,0.116574996622
geld,0,225,225,0,0.19770257445
katze,0,225,225,0,0.104093142607
satz,0,225,225,0,0.15298466207
nicht,0,250,250,0,0.172482257629
muss,0,200,200,0,0.134363073735
