ID,Position,Words,POS,POS after,Condition,Prob of coming after,Prob of coming bef,,POSbef,Probbef,,POSaft,Probaft
1,1,hoes,NOU,NOU,congruent,,0.100408407,,NOUNOU,0.100408407,,NOUNOU,0.100408407
1,2,zicht,NOU,NOU,congruent,0.100408407,0.100408407,,NOUVER,0.30371551,,VERNOU,0.112859847
1,3,hoes,NOU,NOU,congruent,0.100408407,,,VERNOU,0.086541399,,NOUVER,0.232890315
2,1,vlees,NOU,NOU,congruent,,0.100408407,,VERVER,0.175068744,,VERVER,0.175068744
2,2,brug,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
2,3,vlees,NOU,NOU,congruent,0.100408407,,,,,,,
3,1,kool,NOU,NOU,congruent,,0.100408407,,,,,,
3,2,eend,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
3,3,kool,NOU,NOU,congruent,0.100408407,,,,,,,
4,1,lava,NOU,NOU,congruent,,0.100408407,,,,,,
4,2,auto,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
4,3,lava,NOU,NOU,congruent,0.100408407,,,,,,,
5,1,wolk,NOU,NOU,congruent,,0.100408407,,,,,,
5,2,grot,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
5,3,wolk,NOU,NOU,congruent,0.100408407,,,,,,,
6,1,vlok,NOU,NOU,congruent,,0.100408407,,,,,,
6,2,lijst,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
6,3,vlok,NOU,NOU,congruent,0.100408407,,,,,,,
7,1,vocht,NOU,NOU,congruent,,0.100408407,,,,,,
7,2,broek,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
7,3,vocht,NOU,NOU,congruent,0.100408407,,,,,,,
8,1,worp,NOU,NOU,congruent,,0.100408407,,,,,,
8,2,hand,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
8,3,worp,NOU,NOU,congruent,0.100408407,,,,,,,
9,1,mopje,NOU,NOU,congruent,,0.100408407,,,,,,
9,2,kern,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
9,3,mopje,NOU,NOU,congruent,0.100408407,,,,,,,
10,1,huig,NOU,NOU,congruent,,0.100408407,,,,,,
10,2,kaars,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
10,3,huig,NOU,NOU,congruent,0.100408407,,,,,,,
11,1,plek,NOU,NOU,congruent,,0.100408407,,,,,,
11,2,zaal,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
11,3,plek,NOU,NOU,congruent,0.100408407,,,,,,,
12,1,brug,NOU,NOU,congruent,,0.100408407,,,,,,
12,2,slak,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
12,3,brug,NOU,NOU,congruent,0.100408407,,,,,,,
13,1,kaars,NOU,NOU,congruent,,0.100408407,,,,,,
13,2,zalm,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
13,3,kaars,NOU,NOU,congruent,0.100408407,,,,,,,
14,1,vlaag,NOU,NOU,congruent,,0.100408407,,,,,,
14,2,wrak,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
14,3,vlaag,NOU,NOU,congruent,0.100408407,,,,,,,
15,1,snot,NOU,NOU,congruent,,0.100408407,,,,,,
15,2,lava,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
15,3,snot,NOU,NOU,congruent,0.100408407,,,,,,,
16,1,titel,NOU,NOU,congruent,,0.100408407,,,,,,
16,2,stand,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
16,3,titel,NOU,NOU,congruent,0.100408407,,,,,,,
17,1,hond,NOU,NOU,congruent,,0.100408407,,,,,,
17,2,ewrt,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
17,3,hond,NOU,NOU,congruent,0.100408407,,,,,,,
18,1,zicht,NOU,NOU,congruent,,0.100408407,,,,,,
18,2,pees,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
18,3,zicht,NOU,NOU,congruent,0.100408407,,,,,,,
19,1,traan,NOU,NOU,congruent,,0.100408407,,,,,,
19,2,hond,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
19,3,traan,NOU,NOU,congruent,0.100408407,,,,,,,
20,1,cola,NOU,NOU,congruent,,0.100408407,,,,,,
20,2,stank,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
20,3,cola,NOU,NOU,congruent,0.100408407,,,,,,,
21,1,kern,NOU,NOU,congruent,,0.100408407,,,,,,
21,2,naam,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
21,3,kern,NOU,NOU,congruent,0.100408407,,,,,,,
22,1,ijzer,NOU,NOU,congruent,,0.100408407,,,,,,
22,2,boon,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
22,3,ijzer,NOU,NOU,congruent,0.100408407,,,,,,,
23,1,jurk,NOU,NOU,congruent,,0.100408407,,,,,,
23,2,snot,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
23,3,jurk,NOU,NOU,congruent,0.100408407,,,,,,,
24,1,muur,NOU,NOU,congruent,,0.100408407,,,,,,
24,2,beton,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
24,3,muur,NOU,NOU,congruent,0.100408407,,,,,,,
25,1,lamp,NOU,NOU,congruent,,0.100408407,,,,,,
25,2,huis,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
25,3,lamp,NOU,NOU,congruent,0.100408407,,,,,,,
26,1,huis,NOU,NOU,congruent,,0.100408407,,,,,,
26,2,stro,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
26,3,huis,NOU,NOU,congruent,0.100408407,,,,,,,
27,1,duif,NOU,NOU,congruent,,0.100408407,,,,,,
27,2,takje,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
27,3,duif,NOU,NOU,congruent,0.100408407,,,,,,,
28,1,trede,NOU,NOU,congruent,,0.100408407,,,,,,
28,2,kurk,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
28,3,trede,NOU,NOU,congruent,0.100408407,,,,,,,
29,1,meid,NOU,NOU,congruent,,0.100408407,,,,,,
29,2,klank,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
29,3,meid,NOU,NOU,congruent,0.100408407,,,,,,,
30,1,eend,NOU,NOU,congruent,,0.100408407,,,,,,
30,2,huig,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
30,3,eend,NOU,NOU,congruent,0.100408407,,,,,,,
31,1,stank,NOU,NOU,congruent,,0.100408407,,,,,,
31,2,worp,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
31,3,stank,NOU,NOU,congruent,0.100408407,,,,,,,
32,1,auto,NOU,NOU,congruent,,0.100408407,,,,,,
32,2,ster,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
32,3,auto,NOU,NOU,congruent,0.100408407,,,,,,,
33,1,pruik,NOU,NOU,congruent,,0.100408407,,,,,,
33,2,wang,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
33,3,pruik,NOU,NOU,congruent,0.100408407,,,,,,,
34,1,waas,NOU,NOU,congruent,,0.100408407,,,,,,
34,2,poos,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
34,3,waas,NOU,NOU,congruent,0.100408407,,,,,,,
35,1,wesp,NOU,NOU,congruent,,0.100408407,,,,,,
35,2,arend,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
35,3,wesp,NOU,NOU,congruent,0.100408407,,,,,,,
36,1,zaal,NOU,NOU,congruent,,0.100408407,,,,,,
36,2,vrouw,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
36,3,zaal,NOU,NOU,congruent,0.100408407,,,,,,,
37,1,broek,NOU,NOU,congruent,,0.100408407,,,,,,
37,2,hout,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
37,3,broek,NOU,NOU,congruent,0.100408407,,,,,,,
38,1,druif,NOU,NOU,congruent,,0.100408407,,,,,,
38,2,vlees,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
38,3,druif,NOU,NOU,congruent,0.100408407,,,,,,,
39,1,stand,NOU,NOU,congruent,,0.100408407,,,,,,
39,2,mopje,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
39,3,stand,NOU,NOU,congruent,0.100408407,,,,,,,
40,1,teen,NOU,NOU,congruent,,0.100408407,,,,,,
40,2,oksel,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
40,3,teen,NOU,NOU,congruent,0.100408407,,,,,,,
41,1,kiwi,NOU,NOU,congruent,,0.100408407,,,,,,
41,2,worm,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
41,3,kiwi,NOU,NOU,congruent,0.100408407,,,,,,,
42,1,tram,NOU,NOU,congruent,,0.100408407,,,,,,
42,2,vlok,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
42,3,tram,NOU,NOU,congruent,0.100408407,,,,,,,
43,1,klank,NOU,NOU,congruent,,0.100408407,,,,,,
43,2,druif,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
43,3,klank,NOU,NOU,congruent,0.100408407,,,,,,,
44,1,kruk,NOU,NOU,congruent,,0.100408407,,,,,,
44,2,traan,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
44,3,kruk,NOU,NOU,congruent,0.100408407,,,,,,,
45,1,wrak,NOU,NOU,congruent,,0.100408407,,,,,,
45,2,gang,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
45,3,wrak,NOU,NOU,congruent,0.100408407,,,,,,,
46,1,koper,NOU,NOU,congruent,,0.100408407,,,,,,
46,2,stad,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
46,3,koper,NOU,NOU,congruent,0.100408407,,,,,,,
47,1,hand,NOU,NOU,congruent,,0.100408407,,,,,,
47,2,jurk,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
47,3,hand,NOU,NOU,congruent,0.100408407,,,,,,,
48,1,beton,NOU,NOU,congruent,,0.100408407,,,,,,
48,2,kruk,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
48,3,beton,NOU,NOU,congruent,0.100408407,,,,,,,
49,1,kous,NOU,NOU,congruent,,0.100408407,,,,,,
49,2,arts,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
49,3,kous,NOU,NOU,congruent,0.100408407,,,,,,,
50,1,dorp,NOU,NOU,congruent,,0.100408407,,,,,,
50,2,snoet,NOU,NOU,congruent,0.100408407,0.100408407,,,,,,
50,3,dorp,NOU,VER,congruent,0.100408407,,,,,,,
51,1,kroop,VER,VER,congruent,,0.175068744,,,,,,
51,2,balde,VER,VER,congruent,0.175068744,0.175068744,,,,,,
51,3,kroop,VER,VER,congruent,0.175068744,,,,,,,
52,1,laaf,VER,VER,congruent,,0.175068744,,,,,,
52,2,hief,VER,VER,congruent,0.175068744,0.175068744,,,,,,
