item_nr;prime;all;target;condition
1;brusast;brusast;brusast;non-stem/non-suffix
2;aubrelot;aubrelot;aubrelot;non-stem/non-suffix
3;jombelot;jombelot;jombelot;non-stem/non-suffix
4;bavailot;bavailot;bavailot;non-stem/non-suffix
5;laterge;laterge;laterge;non-stem/non-suffix
6;foidrenule;foidrenule;foidrenule;non-stem/non-suffix
7;sargonne;sargonne;sargonne;non-stem/non-suffix
8;lottrenule;lottrenule;lottrenule;non-stem/non-suffix
9;paimache;paimache;paimache;non-stem/non-suffix
10;seifate;seifate;seifate;non-stem/non-suffix
11;bumuque;bumuque;bumuque;non-stem/non-suffix
12;taitipe;taitipe;taitipe;non-stem/non-suffix
13;glatenule;glatenule;glatenule;non-stem/non-suffix
14;chalponne;chalponne;chalponne;non-stem/non-suffix
15;falmuque;falmuque;falmuque;non-stem/non-suffix
16;vosige;vosige;vosige;non-stem/non-suffix
17;hollache;hollache;hollache;non-stem/non-suffix
18;ficenure;ficenure;ficenure;non-stem/non-suffix
19;fastômenule;fastômenule;fastômenule;non-stem/non-suffix
20;arvêtipe;arvêtipe;arvêtipe;non-stem/non-suffix
21;boimipe;boimipe;boimipe;non-stem/non-suffix
22;pauletème;pauletème;pauletème;non-stem/non-suffix
23;chionaste;chionaste;chionaste;non-stem/non-suffix
24;bisfuitil;bisfuitil;bisfuitil;non-stem/non-suffix
25;garpare;garpare;garpare;non-stem/non-suffix
26;têrelot;têrelot;têrelot;non-stem/non-suffix
27;traunure;traunure;traunure;non-stem/non-suffix
28;aipenure;aipenure;aipenure;non-stem/non-suffix
29;sourifisse;sourifisse;sourifisse;non-stem/non-suffix
30;lautope;lautope;lautope;non-stem/non-suffix
31;luvelot;luvelot;luvelot;non-stem/non-suffix
32;naiterge;naiterge;naiterge;non-stem/non-suffix
33;nedil;nedil;nedil;non-stem/non-suffix
34;parmache;parmache;parmache;non-stem/non-suffix
35;chetalème;chetalème;chetalème;non-stem/non-suffix
36;poilterge;poilterge;poilterge;non-stem/non-suffix
37;rauenure;rauenure;rauenure;non-stem/non-suffix
38;draitate;draitate;draitate;non-stem/non-suffix
39;julache;julache;julache;non-stem/non-suffix
40;satlenule;satlenule;satlenule;non-stem/non-suffix
41;trisorisse;trisorisse;trisorisse;non-stem/non-suffix
42;selpare;selpare;selpare;non-stem/non-suffix
43;pisfenure;pisfenure;pisfenure;non-stem/non-suffix
