item_nr;prime;all;target;condition
0;Arfucht;Arfucht;Arfucht;non-stem/non-suffix
1;Baufarf;Baufarf;Baufarf;non-stem/non-suffix
2;Beunatz;Beunatz;Beunatz;non-stem/non-suffix
3;Belenau;Belenau;Belenau;non-stem/non-suffix
4;Bottarf;Bottarf;Bottarf;non-stem/non-suffix
5;Blatzpern;Blatzpern;Blatzpern;non-stem/non-suffix
6;Bletam;Bletam;Bletam;non-stem/non-suffix
7;Bliefmen;Bliefmen;Bliefmen;non-stem/non-suffix
8;Bromarf;Bromarf;Bromarf;non-stem/non-suffix
9;Blustekt;Blustekt;Blustekt;non-stem/non-suffix
10;Bumarf;Bumarf;Bumarf;non-stem/non-suffix
11;Duchpfen;Duchpfen;Duchpfen;non-stem/non-suffix
12;Eusmen;Eusmen;Eusmen;non-stem/non-suffix
13;Faldatz;Faldatz;Faldatz;non-stem/non-suffix
14;Filtarf;Filtarf;Filtarf;non-stem/non-suffix
15;Flusucht;Flusucht;Flusucht;non-stem/non-suffix
16;Flerpern;Flerpern;Flerpern;non-stem/non-suffix
17;Gosichtarf;Gosichtarf;Gosichtarf;non-stem/non-suffix
18;Gestenstpern;Gestenstpern;Gestenstpern;non-stem/non-suffix
19;Holtarf;Holtarf;Holtarf;non-stem/non-suffix
20;Holmat;Holmat;Holmat;non-stem/non-suffix
21;Hehnam;Hehnam;Hehnam;non-stem/non-suffix
22;Hondat;Hondat;Hondat;non-stem/non-suffix
23;Kelsmen;Kelsmen;Kelsmen;non-stem/non-suffix
24;Kertmen;Kertmen;Kertmen;non-stem/non-suffix
25;Korfekt;Korfekt;Korfekt;non-stem/non-suffix
26;Lechucht;Lechucht;Lechucht;non-stem/non-suffix
27;Luptucht;Luptucht;Luptucht;non-stem/non-suffix
28;Maunpern;Maunpern;Maunpern;non-stem/non-suffix
29;Mulcharf;Mulcharf;Mulcharf;non-stem/non-suffix
30;Moldatz;Moldatz;Moldatz;non-stem/non-suffix
31;Nechtatz;Nechtatz;Nechtatz;non-stem/non-suffix
32;nonstarf;nonstarf;nonstarf;non-stem/non-suffix
33;Parmarf;Parmarf;Parmarf;non-stem/non-suffix
34;Pfeldam;Pfeldam;Pfeldam;non-stem/non-suffix
35;Pulktam;Pulktam;Pulktam;non-stem/non-suffix
36;Ridam;Ridam;Ridam;non-stem/non-suffix
37;Rachtmen;Rachtmen;Rachtmen;non-stem/non-suffix
38;Saktmen;Saktmen;Saktmen;non-stem/non-suffix
39;Sarducht;Sarducht;Sarducht;non-stem/non-suffix
40;Schetzarf;Schetzarf;Schetzarf;non-stem/non-suffix
41;Sintau;Sintau;Sintau;non-stem/non-suffix
42;Smurnauf;Smurnauf;Smurnauf;non-stem/non-suffix
43;Steunam;Steunam;Steunam;non-stem/non-suffix
44;Stirmatz;Stirmatz;Stirmatz;non-stem/non-suffix
45;Tafucht;Tafucht;Tafucht;non-stem/non-suffix
46;Teplichatz;Teplichatz;Teplichatz;non-stem/non-suffix
47;Tescharf;Tescharf;Tescharf;non-stem/non-suffix
48;Tolfekt;Tolfekt;Tolfekt;non-stem/non-suffix
49;Tunfelau;Tunfelau;Tunfelau;non-stem/non-suffix
50;Wardekt;Wardekt;Wardekt;non-stem/non-suffix
51;Woltekt;Woltekt;Woltekt;non-stem/non-suffix
52;Wisducht;Wisducht;Wisducht;non-stem/non-suffix
53;Wetzarf;Wetzarf;Wetzarf;non-stem/non-suffix
54;Wolpat;Wolpat;Wolpat;non-stem/non-suffix
55;Wostpern;Wostpern;Wostpern;non-stem/non-suffix
56;Zuhnarf;Zuhnarf;Zuhnarf;non-stem/non-suffix
57;Zeilam;Zeilam;Zeilam;non-stem/non-suffix
58;Zelpat;Zelpat;Zelpat;non-stem/non-suffix
59;Arfbar;Arfbar;Arfbar;non-stem/suffix
60;Baufkeit;Baufkeit;Baufkeit;non-stem/suffix
61;Beunbar;Beunbar;Beunbar;non-stem/suffix
62;Belenkeit;Belenkeit;Belenkeit;non-stem/suffix
63;Botter;Botter;Botter;non-stem/suffix
64;Blatzkeit;Blatzkeit;Blatzkeit;non-stem/suffix
65;Blethaft;Blethaft;Blethaft;non-stem/suffix
66;Bliefkeit;Bliefkeit;Bliefkeit;non-stem/suffix
67;Bromhaft;Bromhaft;Bromhaft;non-stem/suffix
68;Bluster;Bluster;Bluster;non-stem/suffix
69;Bumung;Bumung;Bumung;non-stem/suffix
70;Ducher;Ducher;Ducher;non-stem/suffix
71;Eusbar;Eusbar;Eusbar;non-stem/suffix
72;Faldbar;Faldbar;Faldbar;non-stem/suffix
73;Filthaft;Filthaft;Filthaft;non-stem/suffix
74;Fluskeit;Fluskeit;Fluskeit;non-stem/suffix
75;Flerbar;Flerbar;Flerbar;non-stem/suffix
76;Gosichtkeit;Gosichtkeit;Gosichtkeit;non-stem/suffix
77;Gestenstkeit;Gestenstkeit;Gestenstkeit;non-stem/suffix
78;Holtkeit;Holtkeit;Holtkeit;non-stem/suffix
79;Holmung;Holmung;Holmung;non-stem/suffix
80;Hehnbar;Hehnbar;Hehnbar;non-stem/suffix
81;Hondung;Hondung;Hondung;non-stem/suffix
82;Kelsbar;Kelsbar;Kelsbar;non-stem/suffix
83;Kertbar;Kertbar;Kertbar;non-stem/suffix
84;Korfkeit;Korfkeit;Korfkeit;non-stem/suffix
85;Lechkeit;Lechkeit;Lechkeit;non-stem/suffix
