item_nr,all,flanker_type,lexicality,condition
1,euve,no,nonword,nonword/no
2,dets,no,nonword,nonword/no
3,rans,no,nonword,nonword/no
4,psub,no,nonword,nonword/no
5,lisi,no,nonword,nonword/no
6,uage,no,nonword,nonword/no
7,bexe,no,nonword,nonword/no
8,fler,no,nonword,nonword/no
9,rese,no,nonword,nonword/no
10,ster,no,nonword,nonword/no
11,orie,no,nonword,nonword/no
12,eige,no,nonword,nonword/no
13,ucun,no,nonword,nonword/no
14,spon,no,nonword,nonword/no
15,tion,no,nonword,nonword/no
16,arve,no,nonword,nonword/no
17,ouve,no,nonword,nonword/no
18,poce,no,nonword,nonword/no
19,psue,no,nonword,nonword/no
20,vrec,no,nonword,nonword/no
21,jurf,no,nonword,nonword/no
22,roge,no,nonword,nonword/no
23,uque,no,nonword,nonword/no
24,tute,no,nonword,nonword/no
25,hore,no,nonword,nonword/no
26,idue,no,nonword,nonword/no
27,ibac,no,nonword,nonword/no
28,insi,no,nonword,nonword/no
29,nuce,no,nonword,nonword/no
30,afmi,no,nonword,nonword/no
31,chud,no,nonword,nonword/no
32,aive,no,nonword,nonword/no
33,isar,no,nonword,nonword/no
34,dade,no,nonword,nonword/no
35,flir,no,nonword,nonword/no
36,pluc,no,nonword,nonword/no
37,veur,no,nonword,nonword/no
38,jave,no,nonword,nonword/no
39,ince,no,nonword,nonword/no
40,buge,no,nonword,nonword/no
41,dier,no,nonword,nonword/no
42,flin,no,nonword,nonword/no
43,stue,no,nonword,nonword/no
44,bome,no,nonword,nonword/no
45,glin,no,nonword,nonword/no
46,rici,no,nonword,nonword/no
47,hade,no,nonword,nonword/no
48,suel,no,nonword,nonword/no
49,ponc,no,nonword,nonword/no
50,zour,no,nonword,nonword/no
51,pupe,no,nonword,nonword/no
52,dide,no,nonword,nonword/no
53,sobe,no,nonword,nonword/no
54,ogne,no,nonword,nonword/no
55,mune,no,nonword,nonword/no
56,nobe,no,nonword,nonword/no
57,oste,no,nonword,nonword/no
58,pras,no,nonword,nonword/no
59,duve,no,nonword,nonword/no
60,rinc,no,nonword,nonword/no
61,inge,no,nonword,nonword/no
62,reur,no,nonword,nonword/no
63,uide,no,nonword,nonword/no
64,gois,no,nonword,nonword/no
65,groi,no,nonword,nonword/no
66,ique,no,nonword,nonword/no
67,dige,no,nonword,nonword/no
68,poge,no,nonword,nonword/no
69,doce,no,nonword,nonword/no
70,fope,no,nonword,nonword/no
71,aser,no,nonword,nonword/no
72,vour,no,nonword,nonword/no
73,lage,no,nonword,nonword/no
74,ambe,no,nonword,nonword/no
75,grer,no,nonword,nonword/no
76,cuse,no,nonword,nonword/no
77,cres,no,nonword,nonword/no
78,nire,no,nonword,nonword/no
79,oque,no,nonword,nonword/no
80,oile,no,nonword,nonword/no
81,gose gose gose,related,nonword,nonword/related
82,erle erle erle,related,nonword,nonword/related
83,isir isir isir,related,nonword,nonword/related
84,gine gine gine,related,nonword,nonword/related
85,onue onue onue,related,nonword,nonword/related
86,brir brir brir,related,nonword,nonword/related
87,igne igne igne,related,nonword,nonword/related
88,olde olde olde,related,nonword,nonword/related
89,fave fave fave,related,nonword,nonword/related
90,tade tade tade,related,nonword,nonword/related
91,jine jine jine,related,nonword,nonword/related
92,jive jive jive,related,nonword,nonword/related
93,daps daps daps,related,nonword,nonword/related
94,noil noil noil,related,nonword,nonword/related
95,tyle tyle tyle,related,nonword,nonword/related
96,cins cins cins,related,nonword,nonword/related
97,vure vure vure,related,nonword,nonword/related
98,sube sube sube,related,nonword,nonword/related
99,veul veul veul,related,nonword,nonword/related
100,spen spen spen,related,nonword,nonword/related
101,ande ande ande,related,nonword,nonword/related
102,diol diol diol,related,nonword,nonword/related
103,abir abir abir,related,nonword,nonword/related
104,huif huif huif,related,nonword,nonword/related
105,puif puif puif,related,nonword,nonword/related
106,cude cude cude,related,nonword,nonword/related
107,nouf nouf nouf,related,nonword,nonword/related
108,gion gion gion,related,nonword,nonword/related
109,hime hime hime,related,nonword,nonword/related
110,avas avas avas,related,nonword,nonword/related
111,imer imer imer,related,nonword,nonword/related
112,coui coui coui,related,nonword,nonword/related
113,ocbo ocbo ocbo,related,nonword,nonword/related
114,flar flar flar,related,nonword,nonword/related
115,cion cion cion,related,nonword,nonword/related
116,lube lube lube,related,nonword,nonword/related
117,posi posi posi,related,nonword,nonword/related
118,tese tese tese,related,nonword,nonword/related
119,bral bral bral,related,nonword,nonword/related
120,moif moif moif,related,nonword,nonword/related
121,poxe poxe poxe,related,nonword,nonword/related
122,berf berf berf,related,nonword,nonword/related
123,uste uste uste,related,nonword,nonword/related
124,cuce cuce cuce,related,nonword,nonword/related
125,nile nile nile,related,nonword,nonword/related
126,gric gric gric,related,nonword,nonword/related
127,scol scol scol,related,nonword,nonword/related
128,vore vore vore,related,nonword,nonword/related
129,durc durc durc,related,nonword,nonword/related
130,boge boge boge,related,nonword,nonword/related
131,itie itie itie,related,nonword,nonword/related
132,tuce tuce tuce,related,nonword,nonword/related
133,oche oche oche,related,nonword,nonword/related
134,bres bres bres,related,nonword,nonword/related
135,afer afer afer,related,nonword,nonword/related
136,gouf gouf gouf,related,nonword,nonword/related
137,caie caie caie,related,nonword,nonword/related
138,soti soti soti,related,nonword,nonword/related
139,muie muie muie,related,nonword,nonword/related
140,duis duis duis,related,nonword,nonword/related
141,carc carc carc,related,nonword,nonword/related
142,sabe sabe sabe,related,nonword,nonword/related
143,anue anue anue,related,nonword,nonword/related
144,uise uise uise,related,nonword,nonword/related
145,rine rine rine,related,nonword,nonword/related
146,zors zors zors,related,nonword,nonword/related
147,nomb nomb nomb,related,nonword,nonword/related
148,moce moce moce,related,nonword,nonword/related
149,jage jage jage,related,nonword,nonword/related
150,varc varc varc,related,nonword,nonword/related
151,drac drac drac,related,nonword,nonword/related
152,giel giel giel,related,nonword,nonword/related
153,bame bame bame,related,nonword,nonword/related
154,guve guve guve,related,nonword,nonword/related
155,glac glac glac,related,nonword,nonword/related
156,psin psin psin,related,nonword,nonword/related
157,loui loui loui,related,nonword,nonword/related
158,stin stin stin,related,nonword,nonword/related
159,vave vave vave,related,nonword,nonword/related
160,orve orve orve,related,nonword,nonword/related
161,mype buin mype,unrelated,nonword,nonword/unrelated
162,sode arni sode,unrelated,nonword,nonword/unrelated
163,purc vige purc,unrelated,nonword,nonword/unrelated
164,ucun iers ucun,unrelated,nonword,nonword/unrelated
165,erle vonc erle,unrelated,nonword,nonword/unrelated
166,uite plar uite,unrelated,nonword,nonword/unrelated
167,glur vece glur,unrelated,nonword,nonword/unrelated
168,spho geuf spho,unrelated,nonword,nonword/unrelated
169,alon bube alon,unrelated,nonword,nonword/unrelated
170,drif chen drif,unrelated,nonword,nonword/unrelated
171,bame pluo bame,unrelated,nonword,nonword/unrelated
172,gnai clec gnai,unrelated,nonword,nonword/unrelated
173,momb rers momb,unrelated,nonword,nonword/unrelated
174,oute didi oute,unrelated,nonword,nonword/unrelated
175,bral hien bral,unrelated,nonword,nonword/unrelated
176,uits rane uits,unrelated,nonword,nonword/unrelated
177,bair soge bair,unrelated,nonword,nonword/unrelated
178,vore flid vore,unrelated,nonword,nonword/unrelated
179,suel apin suel,unrelated,nonword,nonword/unrelated
180,drac mexe drac,unrelated,nonword,nonword/unrelated
181,gami sper gami,unrelated,nonword,nonword/unrelated
182,chir bolk chir,unrelated,nonword,nonword/unrelated
183,psin vute psin,unrelated,nonword,nonword/unrelated
184,rour ilie rour,unrelated,nonword,nonword/unrelated
185,frum olis frum,unrelated,nonword,nonword/unrelated
186,casi rone casi,unrelated,nonword,nonword/unrelated
187,gord saze gord,unrelated,nonword,nonword/unrelated
188,aral cien aral,unrelated,nonword,nonword/unrelated
189,aste imci aste,unrelated,nonword,nonword/unrelated
190,clas uite clas,unrelated,nonword,nonword/unrelated
191,pril oute pril,unrelated,nonword,nonword/unrelated
192,durc iage durc,unrelated,nonword,nonword/unrelated
193,juss fabe juss,unrelated,nonword,nonword/unrelated
194,boui perc boui,unrelated,nonword,nonword/unrelated
195,anue drir anue,unrelated,nonword,nonword/unrelated
196,abac nole abac,unrelated,nonword,nonword/unrelated
197,loui gerf loui,unrelated,nonword,nonword/unrelated
198,grer muis grer,unrelated,nonword,nonword/unrelated
199,insi coge insi,unrelated,nonword,nonword/unrelated
200,vuis acle vuis,unrelated,nonword,nonword/unrelated
201,nanc glui nanc,unrelated,nonword,nonword/unrelated
202,nour sige nour,unrelated,nonword,nonword/unrelated
203,alme uits alme,unrelated,nonword,nonword/unrelated
204,vute clir vute,unrelated,nonword,nonword/unrelated
205,puif stre puif,unrelated,nonword,nonword/unrelated
206,tinq arer tinq,unrelated,nonword,nonword/unrelated
207,psus fien psus,unrelated,nonword,nonword/unrelated
208,dute ilas dute,unrelated,nonword,nonword/unrelated
