item_nr,all,target,condition
1,les vers sont loin,1,normal
2,ces loups vont voir,1,normal
3,ton mec est vert,1,normal
4,votre reine était bonne,1,normal
5,votre roi était grand,1,normal
6,ton homme sera jeune,1,normal
7,ton cou est gros,1,normal
8,elles sont avec lui,1,normal
9,cet ours mange tout,1,normal
10,cet ours vit ici,1,normal
11,vos pieds sont bruns,1,normal
12,nos mains sont sales,1,normal
13,son cou sera ici,1,normal
14,son serf est noir,1,normal
15,cette basse sonne bien,1,normal
16,cette fille danse ici,1,normal
17,cette fille voit tout,1,normal
18,leur fille les voit,1,normal
19,nos rois vont rire,1,normal
20,tous sont mal ici,1,normal
21,joue avec une amie,1,normal
22,cet écran pour vous,1,normal
23,les nains sont vieux,1,normal
24,vos murs sont épais,1,normal
25,il mange avec vous,1,normal
26,qui est avec toi,1,normal
27,son jeu est cher,1,normal
28,vivre est cher ici,1,normal
29,lavé dans ces bains,1,normal
30,avec votre forme ronde,1,normal
31,pour tous les jeux,1,normal
32,ton nez est rose,1,normal
33,leur bébé est parti,1,normal
34,être avec une pomme,1,normal
35,avec une femme mince,1,normal
36,cette aile rompt ici,1,normal
37,mais cela est vrai,1,normal
38,fumer une seule fois,1,normal
39,elle peut être ici,1,normal
40,les pics sont verts,1,normal
41,son toit est bas,1,normal
42,être dans cette ville,1,normal
43,sur ces hauts toits,1,normal
44,dans leur robe noire,1,normal
45,son gant est grand,1,normal
46,papa aime les vents,1,normal
47,ils sont avec eux,1,normal
48,allez avec mon père,1,normal
49,notre jupe est chère,1,normal
50,ses fils font tout,1,normal
51,cette forêt est belle,2,normal
52,leur lampe est posée,2,normal
53,cet homme est vivant,2,normal
54,ils rient avec lui,2,normal
55,ses faons sont plats,2,normal
56,notre jour est bien,2,normal
57,elle prend mon stylo,2,normal
58,elle dort très bien,2,normal
59,leur lime est belle,2,normal
60,il dort très fort,2,normal
61,son frère est ici,2,normal
62,notre soeur est levée,2,normal
63,ces gens vont vite,2,normal
64,cette poire est bonne,2,normal
65,elle rêve avec lui,2,normal
66,elle leur avait dit,2,normal
67,dis lui sans vice,2,normal
68,range bien ton sac,2,normal
69,il jette du sel,2,normal
70,très peu sans poivre,2,normal
71,elle mange sans pain,2,normal
72,des poils aux mains,2,normal
73,bois vite son vin,2,normal
74,quand il fait froid,2,normal
75,ces jours sont longs,2,normal
76,prend ton stylo bleu,2,normal
77,une pelle très utile,2,normal
78,belle femme qui parla,2,normal
79,voir mon petit frère,2,normal
80,dans notre mer calme,2,normal
81,leur mur est triste,2,normal
82,cette date est prise,2,normal
83,elle dina chez lui,2,normal
84,pour dire une chose,2,normal
85,ces bouts sont cuits,2,normal
86,notre club est fermé,2,normal
87,elle mange des cèpes,2,normal
88,gros choc hier soir,2,normal
89,une belle lèvre béate,2,normal
90,son avis est utile,2,normal
91,elle arma son canon,2,normal
92,gros bobo aux pieds,2,normal
93,notre ange est passé,2,normal
94,cet anus est lavé,2,normal
95,comme cette pomme amère,2,normal
96,son amie danse bien,2,normal
97,tu aimes bien vivre,2,normal
98,ils vous ont dit,2,normal
99,nous fûmes bons amis,2,normal
100,elle aima son amant,2,normal
101,elle crève cet abcès,3,normal
102,tout ces jolis abats,3,normal
103,bien dans son abri,3,normal
104,son rêve fut beau,3,normal
105,cette fille nous amuse,3,normal
106,cet aigle mange bien,3,normal
107,elle force ses abdos,3,normal
108,taper sur cette paroi,3,normal
109,une algue est posée,3,normal
110,ce grand amphi plein,3,normal
111,elle pense bien laver,3,normal
112,elle passe deux fois,3,normal
113,cela reste ici alors,3,normal
114,ces bébés vont beaux,3,normal
115,ils sont tous virés,3,normal
116,calme ces bons lions,3,normal
117,elle rata cette cible,3,normal
118,elle fit son choix,3,normal
119,son croc tombe ici,3,normal
120,son bras avait durci,3,normal
121,elle est très douée,3,normal
122,cette épine sera dure,3,normal
123,votre livre assez épais,3,normal
124,tuer cette taupe noire,3,normal
125,elle mange sans honte,3,normal
126,elle paye son impôt,3,normal
127,buter sur des mots,3,normal
128,ils sont trop laids,3,normal
129,verse ton repas chaud,3,normal
130,cette liste était vide,3,normal
131,une forme très large,3,normal
132,votre lapin pas lavé,3,normal
133,tes kiwis sont bons,3,normal
134,leur lotus nage ici,3,normal
135,ils sont avant toi,3,normal
136,cette herbe était molle,3,normal
137,ces gens vont loin,3,normal
138,cet orage avec toi,3,normal
139,elle veut des parts,3,normal
140,une quête pour vivre,3,normal
141,elle range son sucre,3,normal
142,leur règle fait mal,3,normal
143,votre robot vole tout,3,normal
144,vous lisez votre conte,3,normal
145,pas sans vous voir,3,normal
146,elle sauta avec lui,3,normal
