ID,Words,POS,word_num,Prob of coming after,Prob of coming bef,Condition,,POSbef,Probbef,,POSaft,Probaft
1,les,DET,1,,0.555390947,normal,,ADJADJ,0.011968085,,ADJADJ,0.016978417
1,vers,NOU,2,0.790606201,0.024923632,normal,,ADJADV,0.025810324,,ADJADV,0.071366906
1,sont,VER,3,0.032714167,0.430972389,normal,,ADJDET,0.008945611,,ADJDET,0.025611511
1,loin,ADV,4,0.237261252,,normal,,ADJINT,0.054418985,,ADJINT,0.085755396
2,ces,PRO,1,,0.004197531,normal,,ADJCON,0.09208245,,ADJCON,0.160863309
2,loups,NOU,2,0.003566334,0.024923632,normal,,ADJNOU,0.056296296,,ADJNOU,0.414676259
2,vont,VER,3,0.032714167,0.070952513,normal,,ADJPRO,0.022519393,,ADJPRO,0.127482014
2,voir,VER,4,0.067543454,,normal,,ADJPRP,0.031561027,,ADJPRP,0.089784173
3,ton,DET,1,,0.555390947,normal,,ADJVER,0.001457928,,ADJVER,0.007482014
3,mec,NOU,2,0.790606201,0.024923632,normal,,ADVADJ,0.161170213,,ADVADJ,0.062832063
3,est,VER,3,0.032714167,0.241223404,normal,,ADVADV,0.1484994,,ADVADV,0.142873643
3,vert,ADJ,4,0.042561628,,normal,,ADVDET,0.098520992,,ADVDET,0.095403095
4,votre,DET,1,,0.555390947,normal,,ADVINT,0.178805237,,ADVINT,0.100947101
4,reine,NOU,2,0.790606201,0.024923632,normal,,ADVCON,0.144866114,,ADVCON,0.086856087
4,était,VER,3,0.032714167,0.430972389,normal,,ADVNOU,0.014567901,,ADVNOU,0.027604528
4,bonne,ADV,4,0.237261252,,normal,,ADVPRO,0.122148894,,ADVPRO,0.243705244
5,votre,DET,1,,0.555390947,normal,,ADVPRP,0.156888423,,ADVPRP,0.138369138
5,roi,NOU,2,0.790606201,0.024923632,normal,,ADVVER,0.06095529,,ADVVER,0.101409101
5,était,VER,3,0.032714167,0.241223404,normal,,DETADJ,0.211702128,,DETADJ,0.082137899
5,grand,ADJ,4,0.042561628,,normal,,DETADV,0.013205282,,DETADV,0.01272559
6,ton,DET,1,,0.555390947,normal,,DETDET,0.070252863,,DETDET,0.06813975
6,homme,NOU,2,0.790606201,0.024923632,normal,,DETINT,0.011865794,,DETINT,0.006709857
6,sera,VER,3,0.032714167,0.241223404,normal,,DETCON,0.005008669,,DETCON,0.003007867
6,jeune,ADJ,4,0.042561628,,normal,,DETNOU,0.555390947,,DETNOU,0.790606201
7,ton,DET,1,,0.555390947,normal,,DETPRO,0.011635985,,DETPRO,0.023253124
7,cou,NOU,2,0.790606201,0.024923632,normal,,DETPRP,0.013357779,,DETPRP,0.011800093
7,est,VER,3,0.032714167,0.430972389,normal,,DETVER,0.000971952,,DETVER,0.001619621
7,gros,ADV,4,0.237261252,,normal,,INTADJ,0.030319149,,INTADJ,0.012327311
8,elles,PRO,1,,0.766592613,normal,,INTADV,0.075030012,,INTADV,0.132837407
8,sont,VER,2,0.656324299,0.26322682,normal,,INTDET,0.058444656,,INTDET,0.104144527
8,avec,PRP,3,0.132839865,0.04052333,normal,,INTINT,0.11497545,,INTINT,0.119447396
8,lui,PRO,4,0.089536966,,normal,,INTCON,0.091889809,,INTCON,0.101381509
9,cet,PRO,1,,0.004197531,normal,,INTNOU,0.011687243,,INTNOU,0.042082891
9,ours,NOU,2,0.003566334,0.024923632,normal,,INTPRO,0.097140211,,INTPRO,0.35664187
9,mange,VER,3,0.032714167,0.123769827,normal,,INTPRP,0.059717129,,INTPRP,0.096918172
9,tout,PRO,4,0.141299319,,normal,,INTVER,0.011177451,,INTVER,0.034218916
10,cet,PRO,1,,0.004197531,normal,,CONADJ,0.028191489,,CONADJ,0.005217977
10,ours,NOU,2,0.003566334,0.024923632,normal,,CONADV,0.086434574,,CONADV,0.121191719
10,vit,VER,3,0.032714167,0.430972389,normal,,CONDET,0.069895038,,CONDET,0.098636593
10,ici,ADV,4,0.237261252,,normal,,CONINT,0.126022913,,CONINT,0.103686248
11,vos,DET,1,,0.555390947,normal,,CONCON,0.065112695,,CONCON,0.056892779
11,pieds,NOU,2,0.790606201,0.024923632,normal,,CONNOU,0.014567901,,CONNOU,0.042417101
11,sont,VER,3,0.032714167,0.241223404,normal,,CONPRO,0.172860947,,CONPRO,0.502608988
11,bruns,ADJ,4,0.042561628,,normal,,CONPRP,0.044656888,,CONPRP,0.057397744
12,nos,DET,1,,0.555390947,normal,,CONVER,0.004929186,,CONVER,0.01195085
12,mains,NOU,2,0.790606201,0.024923632,normal,,NOUADJ,0.202393617,,NOUADJ,0.050827095
12,sont,VER,3,0.032714167,0.241223404,normal,,NOUADV,0.154021609,,NOUADV,0.115516126
12,sales,ADJ,4,0.042561628,,normal,,NOUDET,0.055701336,,NOUDET,0.041863044
13,son,DET,1,,0.555390947,normal,,NOUINT,0.240589198,,NOUINT,0.105720359
13,cou,NOU,2,0.790606201,0.024923632,normal,,NOUCON,0.300712772,,NOUCON,0.136771093
13,sera,VER,3,0.032714167,0.430972389,normal,,NOUNOU,0.085514403,,NOUNOU,0.04426578
13,ici,ADV,4,0.237261252,,normal,,NOUPRO,0.147968044,,NOUPRO,0.231217078
14,son,DET,1,,0.555390947,normal,,NOUPRP,0.350969094,,NOUPRP,0.241105258
14,serf,NOU,2,0.790606201,0.024923632,normal,,NOUVER,0.024923632,,NOUVER,0.032714167
14,est,VER,3,0.032714167,0.241223404,normal,,PROADJ,0.004787234,,PROADJ,0.00053495
