FFDr	FFDp	SFD	GZD	TVT	SKP	nfp	nsp	nap	s1	s2	nlett1	ISL	OSL	f	pred	ILP	haveFixation	haveFirstPass
0	0	0	164	164	0	0	0	0	0	0	3	0	6.618806	5.698007	0.25	0	1	1
172	0	172	172	172	0	1	0	1	0	0	5	6.618806	6.688986	3.98073	0.015625	0.659011666666667	1	1
216	0	216	216	216	0	1	0	1	0	0	7	6.688986	7.338647	4.21614	0.609375	0.580382	1	1
184	0	184	184	376	0	1	1	2	0	0	8	7.338647	8.468884	3.364551	0	0.442411444444444	1	1
142	142	0	142	142	0	1	0	1	0	1	3	8.468884	7.78991	5.460892	0	0.86264675	1	1
194	0	194	194	194	0	1	0	1	1	0	6	10.15221	10.701557	3.915611	0.03125	0.258983857142857	1	1
240	0	240	240	240	0	1	0	1	0	1	9	10.701557	11.42008	2.526339	0	0.5514444	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.781731	0.0625	0	0	0
224	0	224	224	224	0	1	0	1	1	0	7	11.42008	5.711974	2.451786	0	0.3668155	1	1
0	0	0	138	138	0	0	0	0	0	0	7	5.711974	0	3.364739	0.953125	0	1	1
0	0	0	202	202	0	0	0	0	0	0	3	0	3.997117	5.280685	0	0	1	1
238	0	238	238	238	0	1	0	1	0	0	4	3.997117	5.995454	5.113729	0.153846	0.2827732	1	1
152	0	152	152	152	0	1	0	1	0	0	3	5.995454	6.851997	5.893774	0	0.60233	1	1
162	0	162	162	162	0	1	0	1	0	0	6	6.851997	7.545591	3.454845	0	0.751616714285714	1	1
152	0	152	152	152	0	1	0	1	0	1	9	7.545591	10.014223	3.43072	0.030769	0.5806908	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.475158	0.276923	0	0	0
168	168	0	492	492	0	3	0	3	1	0	9	10.014223	8.631953	1.832509	0	0.1821131	1	1
158	158	0	342	342	0	2	0	2	0	0	12	8.631953	9.946016	0.477121	0	0.495504692307692	1	1
0	0	0	98	98	0	0	0	0	0	0	8	9.946016	0	3.618989	0.953846	0	1	1
0	0	0	212	212	0	0	0	0	0	0	3	0	7.217166	4.728338	0	0	1	1
148	0	148	148	148	0	1	0	1	0	0	6	7.217166	8.054279	4.621965	0.064516	0.674083	1	1
148	0	148	148	148	0	1	0	1	0	0	10	8.054279	11.778348	3.754578	0	0.524805454545454	1	1
276	0	276	276	276	0	1	0	1	0	0	11	11.778348	9.780042	3.025306	0	0.545934	1	1
184	0	184	184	184	0	1	0	1	0	1	4	9.780042	8.578194	3.550717	0.064516	0.86625	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.434424	0.983871	0	0	0
180	0	180	180	180	0	1	0	1	0	1	4	8.578194	7.867268	3.400883	0.83871	0.7818888	1	1
0	0	0	0	0	0	0	0	0	0	0	2	0	0	6.035134	0.951613	0	0	0
0	0	0	146	146	0	0	0	0	1	0	8	7.867268	0	1.70757	0.967742	0	1	1
0	0	0	258	258	0	0	0	0	0	0	6	0	7.542753	3.031004	0	0	1	1
132	0	132	132	132	0	1	0	1	0	0	7	7.542753	9.1732	3.890197	0	0.445202	1	1
236	0	236	236	236	0	1	0	1	0	1	8	9.1732	8.801365	2.824776	0	0.526090666666667	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	6.509479	0.046875	0	0	0
158	0	158	158	158	0	1	0	1	1	0	5	8.801365	8.209207	4.422984	0.75	0.0893635	1	1
0	0	0	206	206	0	1	0	1	0	0	4	8.209207	0	5.748614	0.546875	0	1	1
0	0	0	0	0	0	0	0	0	0	0	5	0	0	2.247973	0.15625	0	0	0
0	0	0	216	216	0	0	0	0	0	0	2	0	6.122985	4.573823	0.014286	0	1	1
140	0	140	140	140	0	1	0	1	0	0	6	6.122985	6.378516	3.557748	0.1	0.715629285714286	1	1
178	0	178	178	178	0	1	0	1	0	1	6	6.378516	7.700999	3.801198	0	0.626845857142857	1	1
0	0	0	0	0	0	0	0	0	0	0	3	0	0	5.315067	0.828571	0	0	0
176	0	176	176	176	0	1	0	1	1	0	4	7.700999	9.521053	5.48364	0.4	0.217784	1	1
