Words,Freq,dominant.pos,POS
de,3.9069,LID,DET
een,3.9069,LID,DET
is,3.9068,WW,VER
het,3.9067,VNW,PRO
in,3.9067,VZ,PRP
niet,3.9067,BW,ADV
dat,3.9066,VNW,PRO
en,3.9066,VG,CON
van,3.9065,VZ,PRP
voor,3.9065,VZ,PRP
zijn,3.9065,WW,VER
er,3.9064,VNW,PRO
je,3.9064,VNW,PRO
maar,3.9064,VG,CON
met,3.9064,VZ,PRP
op,3.9064,VZ,PRP
te,3.9064,VZ,PRP
wat,3.9064,VNW,PRO
we,3.9063,VNW,PRO
als,3.9062,VG,CON
die,3.9061,VNW,PRO
ik,3.9061,VNW,PRO
naar,3.9061,VZ,PRP
dit,3.906,VNW,PRO
was,3.906,WW,VER
ze,3.906,VNW,PRO
kan,3.9059,WW,VER
aan,3.9058,VZ,PRP
om,3.9058,VZ,PRP
zo,3.9058,BW,ADV
geen,3.9057,VNW,PRO
hier,3.9057,VNW,PRO
hij,3.9057,VNW,PRO
dan,3.9056,BW,ADV
nog,3.9056,BW,ADV
waar,3.9056,VNW,PRO
wel,3.9056,BW,ADV
moet,3.9055,WW,VER
hebben,3.9054,WW,VER
nu,3.9054,BW,ADV
ben,3.9053,WW,VER
uit,3.9053,VZ,PRP
heb,3.9051,WW,VER
goed,3.905,ADJ,ADJ
hoe,3.905,BW,ADV
heeft,3.9049,WW,VER
gaan,3.9048,WW,VER
ook,3.9048,BW,ADV
me,3.9047,VNW,PRO
daar,3.9046,VNW,PRO
doen,3.9046,WW,VER
weet,3.9044,WW,VER
wil,3.9044,WW,VER
meer,3.9041,VNW,PRO
over,3.9041,VZ,PRP
bij,3.9038,VZ,PRP
of,3.9037,VG,CON
jij,3.9034,VNW,PRO
ga,3.9033,WW,VER
mij,3.9031,VNW,PRO
bent,3.9029,WW,VER
hem,3.9025,VNW,PRO
iets,3.9025,VNW,PRO
zou,3.9025,WW,VER
gaat,3.9024,WW,VER
laat,3.9023,WW,VER
hebt,3.9022,WW,VER
waarom,3.9021,BW,ADV
nee,3.9016,BW,ADV
moeten,3.9015,WW,VER
ons,3.9015,VNW,PRO
had,3.9012,WW,VER
ja,3.9009,BW,ADV
kom,3.9009,WW,VER
kunnen,3.9006,WW,VER
zien,3.9006,WW,VER
zal,3.9003,WW,VER
alles,3.9,VNW,PRO
wie,3.8996,VNW,PRO
mijn,3.8989,VNW,PRO
doe,3.8988,WW,VER
door,3.8988,VZ,PRP
komt,3.8981,WW,VER
nooit,3.8979,BW,ADV
mee,3.8978,VZ,PRP
deze,3.8976,VNW,PRO
alleen,3.8975,BW,ADV
terug,3.8975,BW,ADV
weg,3.8974,BW,ADV
toch,3.896,BW,ADV
komen,3.8955,WW,VER
laten,3.8955,WW,VER
misschien,3.8941,BW,ADV
haar,3.894,VNW,PRO
veel,3.8934,VNW,PRO
denk,3.8931,WW,VER
jou,3.8931,VNW,PRO
echt,3.8926,ADJ,ADJ
iemand,3.8925,VNW,PRO
jullie,3.8922,VNW,PRO
tot,3.8915,VZ,PRP
dus,3.8905,BW,ADV
zei,3.8894,WW,VER
nodig,3.8882,ADJ,ADJ
zeg,3.8877,WW,VER
worden,3.8876,WW,VER
maken,3.8875,WW,VER
wordt,3.8869,WW,VER
weer,3.8867,BW,ADV
net,3.8856,BW,ADV
zeggen,3.8853,WW,VER
tegen,3.8852,VZ,PRP
weten,3.885,WW,VER
zit,3.8846,WW,VER
even,3.8843,BW,ADV
af,3.8833,VZ,PRP
kijk,3.8826,WW,VER
altijd,3.8822,BW,ADV
tijd,3.882,N,NOU
mag,3.8813,WW,VER
doet,3.8812,WW,VER
gedaan,3.8808,WW,VER
anders,3.8798,BW,ADV
zie,3.8798,WW,VER
toen,3.8787,VG,CON
eens,3.8784,BW,ADV
mensen,3.8781,N,NOU
leven,3.8778,N,NOU
zeker,3.8775,ADJ,ADJ
man,3.877,N,NOU
twee,3.8767,ADJ,ADJ
onze,3.8758,VNW,PRO
heel,3.8725,ADJ,ADJ
geef,3.8716,WW,VER
wacht,3.8712,WW,VER
dacht,3.8706,WW,VER
u,3.8703,VNW,PRO
hou,3.8699,WW,VER
willen,3.8699,WW,VER
allemaal,3.8694,BW,ADV
niemand,3.8685,VNW,PRO
wij,3.8679,VNW,PRO
gezien,3.8673,WW,VER
keer,3.8673,N,NOU
omdat,3.8673,VG,CON
beter,3.8668,ADJ,ADJ
dag,3.8655,N,NOU
andere,3.8647,ADJ,ADJ
zitten,3.8626,WW,VER
zich,3.8602,VNW,PRO
gewoon,3.86,ADJ,ADJ
zoals,3.8591,VG,CON
binnen,3.8588,VZ,PRP
lang,3.8581,ADJ,ADJ
neem,3.858,WW,VER
staat,3.8571,WW,VER
genoeg,3.857,BW,ADV
niets,3.8564,VNW,PRO
maak,3.8552,WW,VER
dood,3.8546,ADJ,ADJ
iedereen,3.8527,VNW,PRO
kon,3.8527,WW,VER
na,3.8525,VZ,PRP
vinden,3.8525,WW,VER
waren,3.8509,WW,VER
wilt,3.8506,WW,VER
hun,3.8502,VNW,PRO
vind,3.8501,WW,VER
toe,3.8492,VZ,PRP
erg,3.849,ADJ,ADJ
hele,3.8489,ADJ,ADJ
wist,3.8484,WW,VER
ziet,3.8481,WW,VER
jaar,3.8476,N,NOU
zij,3.8473,VNW,PRO
helpen,3.847,WW,VER
maakt,3.8442,WW,VER
zullen,3.8426,WW,VER
zegt,3.8425,WW,VER
kunt,3.8424,WW,VER
blijven,3.842,WW,VER
jouw,3.8417,VNW,PRO
huis,3.8414,N,NOU
zonder,3.8412,VZ,PRP
nou,3.8405,BW,ADV
houden,3.8401,WW,VER
werk,3.8392,N,NOU
blijf,3.8387,WW,VER
graag,3.8387,BW,ADV
praten,3.8387,WW,VER
vast,3.8368,ADJ,ADJ
klaar,3.8366,ADJ,ADJ
geweest,3.8363,WW,VER
spijt,3.836,WW,VER
elkaar,3.8357,VNW,PRO
alle,3.8338,VNW,PRO
krijgen,3.8304,WW,VER
helemaal,3.8296,BW,ADV
kijken,3.8287,WW,VER
mooi,3.8243,ADJ,ADJ
onder,3.8241,VZ,PRP
achter,3.8232,VZ,PRP
geven,3.8227,WW,VER
natuurlijk,3.8218,ADJ,ADJ
vrouw,3.8213,N,NOU
moest,3.8211,WW,VER
idee,3.8209,N,NOU
steeds,3.8208,BW,ADV
bedankt,3.8206,WW,VER
ging,3.8202,WW,VER
zelf,3.8193,BW,ADV
dank,3.8191,WW,VER
kwam,3.8191,WW,VER
wilde,3.819,WW,VER
luister,3.816,WW,VER
dingen,3.8156,N,NOU
bedoel,3.8146,WW,VER
werd,3.8139,WW,VER
snel,3.8136,ADJ,ADJ
gek,3.8133,ADJ,ADJ
lijkt,3.8127,WW,VER
eerste,3.8125,ADJ,ADJ
grote,3.8113,ADJ,ADJ
vragen,3.8104,WW,VER
vraag,3.8099,WW,VER
ooit,3.8095,BW,ADV
drie,3.8092,ADJ,ADJ
staan,3.8085,WW,VER
bang,3.8071,ADJ,ADJ
wanneer,3.8071,BW,ADV
vertellen,3.8059,WW,VER
hoor,3.8055,WW,VER
gebeurd,3.8042,WW,VER
nemen,3.8039,WW,VER
sorry,3.803,INT,INT
zorgen,3.8027,N,NOU
ken,3.8022,WW,VER
laatste,3.8015,ADJ,ADJ
zag,3.8013,WW,VER
paar,3.7998,N,NOU
denken,3.7984,WW,VER
eerst,3.797,BW,ADV
enige,3.7969,VNW,PRO
goede,3.7966,ADJ,ADJ
hadden,3.7966,WW,VER
uw,3.7947,VNW,PRO
zelfs,3.7937,BW,ADV
denkt,3.7932,WW,VER
leuk,3.7931,ADJ,ADJ
beetje,3.791,N,NOU
deed,3.7903,WW,VER
halen,3.7901,WW,VER
horen,3.7892,WW,VER
naam,3.7888,N,NOU
vriend,3.7883,N,NOU
geloof,3.786,WW,VER
bijna,3.7852,BW,ADV
hoop,3.7846,WW,VER
nieuwe,3.7846,ADJ,ADJ
gezegd,3.7838,WW,VER
samen,3.7838,BW,ADV
heen,3.7832,VZ,PRP
eigen,3.7823,ADJ,ADJ
