Word,POS,lcfreqmovies,lcfreqbooks,Freq
je,PRO,4.414780879,4.035940584,4.225360732
de,PRP,4.401761613,4.590272355,4.496016984
est,VER,4.358377487,3.902227056,4.130302272
pas,ADV,4.262811903,3.960438906,4.111625405
le,DET,4.229259371,4.316706972,4.272983172
la,DET,4.204881501,4.395803243,4.300342372
tu,PRO,4.166423897,3.404383801,3.785403849
vous,PRO,4.13320987,3.544955579,3.839082725
ne,ADV,4.125709901,3.889418806,4.007564354
il,PRO,4.121341165,4.19954017,4.160440668
et,CON,4.110895292,4.319724878,4.215310085
un,DET,4.103309301,4.144460872,4.123885087
les,DET,3.998308608,4.206138284,4.102223446
en,PRP,3.973080725,4.057017982,4.015049354
ça,PRO,3.952882004,3.395090394,3.673986199
on,PRO,3.933991142,3.684699974,3.809345558
une,DET,3.910279073,3.992589303,3.951434188
ce,PRO,3.900823035,3.732001914,3.816412475
ai,VER,3.867931587,3.437460408,3.652695998
pour,PRP,3.851639871,3.793384528,3.8225122
des,PRP,3.782165069,4.026326077,3.904245573
qui,PRO,3.741665197,3.898903359,3.820284278
mais,CON,3.714371678,3.649847724,3.682109701
me,PRO,3.693027471,3.629849787,3.661438629
nous,PRO,3.678711356,3.5874685,3.633089928
dans,PRP,3.66825449,3.918872931,3.793563711
elle,PRO,3.655189356,3.844569741,3.749879549
du,PRP,3.642929234,3.837724765,3.740327
bien,ADV,3.63725751,3.419721199,3.528489355
que,CON,3.612879179,3.520607973,3.566743576
plus,ADV,3.611609676,3.702034838,3.656822257
non,ADV,3.606789668,3.056596164,3.331692916
te,PRO,3.602721786,2.888920477,3.245821132
tout,ADV,3.601400449,3.588256016,3.594828233
mon,DET,3.585349039,3.363230159,3.474289599
suis,VER,3.575257142,3.062198282,3.318727712
au,PRP,3.57261025,3.72611567,3.64936296
avec,ADV,3.568775318,3.602104504,3.585439911
moi,PRO,3.567763687,3.274377251,3.421070469
si,ADV,3.541927289,3.269307423,3.405617356
as,VER,3.536209857,2.707229419,3.121719638
va,VER,3.529287876,2.841728526,3.185508201
oui,INT,3.506146355,2.804527874,3.155337115
fait,VER,3.500538345,3.258117446,3.379327896
ils,PRO,3.487855006,3.448633674,3.46824434
comme,ADV,3.462954736,3.57921178,3.521083258
faire,VER,3.437109744,3.191769492,3.314439618
était,VER,3.432578089,3.714902014,3.573740052
sur,PRP,3.41035876,3.727216635,3.568787698
toi,PRO,3.401314363,2.653540523,3.027427443
sais,VER,3.396710084,2.78906574,3.092887912
veux,VER,3.395663561,2.577457331,2.986560446
quoi,PRO,3.394798278,2.772739661,3.08376897
ici,ADV,3.38233949,2.684531192,3.033435341
es,VER,3.378112518,2.524162358,2.951137438
