;item_nr;prime;all;target;condition
0;1;Arfucht;Arfucht;Arfucht;non-stem/non-suffix
1;2;Baufarf;Baufarf;Baufarf;non-stem/non-suffix
2;3;Beunatz;Beunatz;Beunatz;non-stem/non-suffix
3;4;Belenau;Belenau;Belenau;non-stem/non-suffix
4;5;Bottarf;Bottarf;Bottarf;non-stem/non-suffix
5;6;Blatzpern;Blatzpern;Blatzpern;non-stem/non-suffix
6;7;Bletam;Bletam;Bletam;non-stem/non-suffix
7;8;Bliefmen;Bliefmen;Bliefmen;non-stem/non-suffix
8;9;Bromarf;Bromarf;Bromarf;non-stem/non-suffix
9;10;Blustekt;Blustekt;Blustekt;non-stem/non-suffix
10;11;Bumarf;Bumarf;Bumarf;non-stem/non-suffix
11;12;Duchpfen;Duchpfen;Duchpfen;non-stem/non-suffix
12;13;Eusmen;Eusmen;Eusmen;non-stem/non-suffix
13;14;Faldatz;Faldatz;Faldatz;non-stem/non-suffix
14;15;Filtarf;Filtarf;Filtarf;non-stem/non-suffix
15;16;Flusucht;Flusucht;Flusucht;non-stem/non-suffix
16;17;Flerpern;Flerpern;Flerpern;non-stem/non-suffix
17;18;Gosichtarf;Gosichtarf;Gosichtarf;non-stem/non-suffix
18;19;Gestenstpern;Gestenstpern;Gestenstpern;non-stem/non-suffix
19;20;Holtarf;Holtarf;Holtarf;non-stem/non-suffix
20;21;Holmat;Holmat;Holmat;non-stem/non-suffix
21;22;Hehnam;Hehnam;Hehnam;non-stem/non-suffix
22;23;Hondat;Hondat;Hondat;non-stem/non-suffix
23;24;Kelsmen;Kelsmen;Kelsmen;non-stem/non-suffix
24;25;Kertmen;Kertmen;Kertmen;non-stem/non-suffix
25;26;Korfekt;Korfekt;Korfekt;non-stem/non-suffix
26;27;Lechucht;Lechucht;Lechucht;non-stem/non-suffix
27;28;Luptucht;Luptucht;Luptucht;non-stem/non-suffix
28;29;Maunpern;Maunpern;Maunpern;non-stem/non-suffix
29;30;Mulcharf;Mulcharf;Mulcharf;non-stem/non-suffix
30;31;Moldatz;Moldatz;Moldatz;non-stem/non-suffix
31;32;Nechtatz;Nechtatz;Nechtatz;non-stem/non-suffix
32;33;nonstarf;nonstarf;nonstarf;non-stem/non-suffix
33;34;Parmarf;Parmarf;Parmarf;non-stem/non-suffix
34;35;Pfeldam;Pfeldam;Pfeldam;non-stem/non-suffix
35;36;Pulktam;Pulktam;Pulktam;non-stem/non-suffix
36;37;Ridam;Ridam;Ridam;non-stem/non-suffix
37;38;Rachtmen;Rachtmen;Rachtmen;non-stem/non-suffix
38;39;Saktmen;Saktmen;Saktmen;non-stem/non-suffix
39;40;Sarducht;Sarducht;Sarducht;non-stem/non-suffix
40;41;Schetzarf;Schetzarf;Schetzarf;non-stem/non-suffix
41;42;Sintau;Sintau;Sintau;non-stem/non-suffix
42;43;Smurnauf;Smurnauf;Smurnauf;non-stem/non-suffix
43;44;Steunam;Steunam;Steunam;non-stem/non-suffix
44;45;Stirmatz;Stirmatz;Stirmatz;non-stem/non-suffix
45;46;Tafucht;Tafucht;Tafucht;non-stem/non-suffix
46;47;Teplichatz;Teplichatz;Teplichatz;non-stem/non-suffix
47;48;Tescharf;Tescharf;Tescharf;non-stem/non-suffix
48;49;Tolfekt;Tolfekt;Tolfekt;non-stem/non-suffix
49;50;Tunfelau;Tunfelau;Tunfelau;non-stem/non-suffix
50;51;Wardekt;Wardekt;Wardekt;non-stem/non-suffix
51;52;Woltekt;Woltekt;Woltekt;non-stem/non-suffix
52;53;Wisducht;Wisducht;Wisducht;non-stem/non-suffix
53;54;Wetzarf;Wetzarf;Wetzarf;non-stem/non-suffix
54;55;Wolpat;Wolpat;Wolpat;non-stem/non-suffix
55;56;Wostpern;Wostpern;Wostpern;non-stem/non-suffix
56;57;Zuhnarf;Zuhnarf;Zuhnarf;non-stem/non-suffix
57;58;Zeilam;Zeilam;Zeilam;non-stem/non-suffix
58;59;Zelpat;Zelpat;Zelpat;non-stem/non-suffix
59;60;Arfbar;Arfbar;Arfbar;non-stem/suffix
60;61;Baufkeit;Baufkeit;Baufkeit;non-stem/suffix
61;62;Beunbar;Beunbar;Beunbar;non-stem/suffix
62;63;Belenkeit;Belenkeit;Belenkeit;non-stem/suffix
63;64;Botter;Botter;Botter;non-stem/suffix
64;65;Blatzkeit;Blatzkeit;Blatzkeit;non-stem/suffix
